method,seed,n_obs,d_s,d,N_sims,N_over_d2n,theta_kl,mmd,status
flow_npe,0,500,5,9,202500,5.0,1.7642767613282277,0.15073108673095703,finite_metric
gaussian_npe,0,500,5,9,202500,5.0,2.0790500386998594,0.16601765155792236,finite_metric
flow_npe,0,500,7,11,302500,5.0,1.8289521625164122,0.1430720090866089,finite_metric
gaussian_npe,0,500,7,11,302500,5.0,2.5957485300660794,0.3335915207862854,finite_metric
flow_npe,0,500,11,15,562500,5.0,1.9233374475482579,0.0935969352722168,finite_metric
gaussian_npe,0,500,11,15,562500,5.0,2.4459979454340743,0.16533732414245605,finite_metric
flow_npe,0,500,15,19,902500,5.0,2.1705712783584556,0.18066585063934326,finite_metric
gaussian_npe,0,500,15,19,902500,5.0,2.792366401078131,0.22657299041748047,finite_metric
flow_npe,0,500,19,23,1322500,5.0,,,missing_metrics
gaussian_npe,0,500,19,23,1322500,5.0,2.5077673322908955,0.15723156929016113,finite_metric
flow_npe,1,500,5,9,202500,5.0,2.257533059520113,0.19837921857833862,finite_metric
gaussian_npe,1,500,5,9,202500,5.0,2.8484004101484963,0.3082575798034668,finite_metric
flow_npe,1,500,7,11,302500,5.0,2.5351368052537455,0.24854564666748047,finite_metric
gaussian_npe,1,500,7,11,302500,5.0,3.8501228928621085,0.32432466745376587,finite_metric
flow_npe,1,500,11,15,562500,5.0,1.833606847479126,0.14456021785736084,finite_metric
gaussian_npe,1,500,11,15,562500,5.0,3.198801252979506,0.2842761278152466,finite_metric
flow_npe,1,500,15,19,902500,5.0,2.3083582354163097,0.2311391830444336,finite_metric
gaussian_npe,1,500,15,19,902500,5.0,3.9843192933268856,0.4108090400695801,finite_metric
flow_npe,1,500,19,23,1322500,5.0,,,missing_metrics
gaussian_npe,1,500,19,23,1322500,5.0,3.8523320206635288,0.3374767303466797,finite_metric
flow_npe,2,500,5,9,202500,5.0,2.3592799342307598,0.2620478868484497,finite_metric
gaussian_npe,2,500,5,9,202500,5.0,2.7812620673680164,0.3988693952560425,finite_metric
flow_npe,2,500,7,11,302500,5.0,2.226659932384143,0.20745360851287842,finite_metric
gaussian_npe,2,500,7,11,302500,5.0,2.5141293404659075,0.25555670261383057,finite_metric
flow_npe,2,500,11,15,562500,5.0,2.3806041627615957,0.16131627559661865,finite_metric
gaussian_npe,2,500,11,15,562500,5.0,3.055443057303821,0.23886382579803467,finite_metric
flow_npe,2,500,15,19,902500,5.0,2.8621695737129484,0.3352699279785156,finite_metric
gaussian_npe,2,500,15,19,902500,5.0,2.8075606499390795,0.16836977005004883,finite_metric
flow_npe,2,500,19,23,1322500,5.0,3.0403943585957713,0.1570032835006714,finite_metric
gaussian_npe,2,500,19,23,1322500,5.0,3.269439374654282,0.2839229106903076,finite_metric
flow_npe,3,500,5,9,202500,5.0,1.5304426166375114,0.10885846614837646,finite_metric
gaussian_npe,3,500,5,9,202500,5.0,2.0925203957402654,0.1778043508529663,finite_metric
flow_npe,3,500,7,11,302500,5.0,2.179403555443745,0.21029067039489746,finite_metric
gaussian_npe,3,500,7,11,302500,5.0,2.358044408454403,0.18489515781402588,finite_metric
flow_npe,3,500,11,15,562500,5.0,2.495374686723723,0.18792736530303955,finite_metric
gaussian_npe,3,500,11,15,562500,5.0,3.316363112681379,0.300881028175354,finite_metric
flow_npe,3,500,15,19,902500,5.0,2.479674691270158,0.22865092754364014,finite_metric
gaussian_npe,3,500,15,19,902500,5.0,2.3015236060320676,0.16953468322753906,finite_metric
flow_npe,3,500,19,23,1322500,5.0,2.8047905892930185,0.23225069046020508,finite_metric
gaussian_npe,3,500,19,23,1322500,5.0,2.8685725400121456,0.22614848613739014,finite_metric
flow_npe,4,500,5,9,202500,5.0,1.9000045230842453,0.21994644403457642,finite_metric
gaussian_npe,4,500,5,9,202500,5.0,2.696691416637432,0.4061542749404907,finite_metric
flow_npe,4,500,7,11,302500,5.0,1.9544696595897304,0.24528425931930542,finite_metric
gaussian_npe,4,500,7,11,302500,5.0,2.505919998764569,0.22499006986618042,finite_metric
flow_npe,4,500,11,15,562500,5.0,6.3695345881180865,0.8229628801345825,finite_metric
gaussian_npe,4,500,11,15,562500,5.0,3.1554154217219064,0.3591347336769104,finite_metric
flow_npe,4,500,15,19,902500,5.0,2.834265137378347,0.28784191608428955,finite_metric
gaussian_npe,4,500,15,19,902500,5.0,2.6176925501696613,0.1779942512512207,finite_metric
flow_npe,4,500,19,23,1322500,5.0,2.3053538986198374,0.2339773178100586,finite_metric
gaussian_npe,4,500,19,23,1322500,5.0,,,missing_metrics
flow_npe,5,500,5,9,202500,5.0,1.6954142362321427,0.14298135042190552,finite_metric
gaussian_npe,5,500,5,9,202500,5.0,2.1182788037933697,0.20693832635879517,finite_metric
flow_npe,5,500,7,11,302500,5.0,1.283560117600268,0.08651936054229736,finite_metric
gaussian_npe,5,500,7,11,302500,5.0,2.084745893659114,0.16414636373519897,finite_metric
flow_npe,5,500,11,15,562500,5.0,2.914661516491803,0.4690868854522705,finite_metric
gaussian_npe,5,500,11,15,562500,5.0,3.523697148143477,0.6156885027885437,finite_metric
flow_npe,5,500,15,19,902500,5.0,1.9083257409870744,0.1696605682373047,finite_metric
gaussian_npe,5,500,15,19,902500,5.0,2.9503251490793776,0.37246841192245483,finite_metric
flow_npe,5,500,19,23,1322500,5.0,1.9651537639703403,0.1453608274459839,finite_metric
gaussian_npe,5,500,19,23,1322500,5.0,3.6260631290680516,0.48541760444641113,finite_metric
flow_npe,6,500,5,9,202500,5.0,2.628553888681597,0.2717893719673157,finite_metric
gaussian_npe,6,500,5,9,202500,5.0,2.595592671340807,0.33030378818511963,finite_metric
flow_npe,6,500,7,11,302500,5.0,1.5881367726601803,0.1354365348815918,finite_metric
gaussian_npe,6,500,7,11,302500,5.0,2.5762182751481824,0.2859082818031311,finite_metric
flow_npe,6,500,11,15,562500,5.0,2.005677367409899,0.2321401834487915,finite_metric
gaussian_npe,6,500,11,15,562500,5.0,2.8711020061595884,0.25978344678878784,finite_metric
flow_npe,6,500,15,19,902500,5.0,1.9549326557551874,0.10631823539733887,finite_metric
gaussian_npe,6,500,15,19,902500,5.0,2.90177564320507,0.19222044944763184,finite_metric
flow_npe,6,500,19,23,1322500,5.0,,,missing_metrics
gaussian_npe,6,500,19,23,1322500,5.0,2.876600353001252,0.28652870655059814,finite_metric
flow_npe,7,500,5,9,202500,5.0,1.7913931765192574,0.1673601269721985,finite_metric
gaussian_npe,7,500,5,9,202500,5.0,2.13815942914896,0.25090140104293823,finite_metric
flow_npe,7,500,7,11,302500,5.0,5.493628735224261,0.8177930116653442,finite_metric
gaussian_npe,7,500,7,11,302500,5.0,2.7277691425396813,0.36723649501800537,finite_metric
flow_npe,7,500,11,15,562500,5.0,2.968276381498512,0.4436403512954712,finite_metric
gaussian_npe,7,500,11,15,562500,5.0,,,missing_metrics
flow_npe,7,500,15,19,902500,5.0,2.144904318273061,0.32457220554351807,finite_metric
gaussian_npe,7,500,15,19,902500,5.0,3.4027737267258296,0.5102341175079346,finite_metric
flow_npe,7,500,19,23,1322500,5.0,3.3276886753059047,0.5367936491966248,finite_metric
