method,seed,n_obs,d_s,d,N_sims,N_over_d2n,theta_kl,cross_entropy,status
flow_npe,0,1000,11,15,1125000,5.0,2.065465776952951,-4.994374535854078,complete
flow_npe,1,1000,11,15,1125000,5.0,3.503382317926807,-3.2921551946365972,complete
flow_npe,2,1000,11,15,1125000,5.0,2.5992731735025227,-4.2632398316569144,complete
flow_npe,3,1000,11,15,1125000,5.0,2.1328344132338573,-4.566405373462121,complete
flow_npe,4,1000,11,15,1125000,5.0,2.2112309128532632,-4.686311499026072,complete
flow_npe,5,1000,11,15,1125000,5.0,3.847626814425234,-3.0763620408420924,complete
flow_npe,6,1000,11,15,1125000,5.0,2.0195154335202488,-4.543505713089668,complete
flow_npe,7,1000,11,15,1125000,5.0,2.531394369283781,-4.080326869670488,complete
flow_npe,0,1000,11,15,2250000,10.0,2.077321715380149,-4.756495069246641,complete
flow_npe,1,1000,11,15,2250000,10.0,2.774595595419038,-3.7934909777724224,complete
flow_npe,2,1000,11,15,2250000,10.0,2.265747524111559,-4.645553090498897,complete
flow_npe,3,1000,11,15,2250000,10.0,2.1724423847063408,-4.683682121125799,complete
flow_npe,4,1000,11,15,2250000,10.0,1.6917857625867816,-5.07188461015324,complete
flow_npe,5,1000,11,15,2250000,10.0,2.576453928343659,-4.322637864789184,complete
flow_npe,6,1000,11,15,2250000,10.0,,,missing_diagnostics
flow_npe,7,1000,11,15,2250000,10.0,2.986089533319209,-3.6739919503361707,complete
flow_npe,0,1000,11,15,4500000,20.0,1.6480449073643624,-5.225907839067819,complete
flow_npe,1,1000,11,15,4500000,20.0,,,missing_diagnostics
flow_npe,2,1000,11,15,4500000,20.0,2.1755927513111284,-4.408781464410561,complete
flow_npe,3,1000,11,15,4500000,20.0,,,missing_diagnostics
flow_npe,4,1000,11,15,4500000,20.0,2.3938680575254785,-4.449254733696348,complete
flow_npe,5,1000,11,15,4500000,20.0,,,failed
flow_npe,6,1000,11,15,4500000,20.0,,,missing_diagnostics
flow_npe,7,1000,11,15,4500000,20.0,1.5694917011850444,-5.2995591319556485,complete
flow_npe,0,1000,15,19,1805000,5.0,2.5593873786115564,-4.423863560598132,complete
flow_npe,1,1000,15,19,1805000,5.0,3.3470923366784655,-3.7585303903217544,complete
flow_npe,2,1000,15,19,1805000,5.0,2.3059257017031376,-4.559047502799922,complete
flow_npe,3,1000,15,19,1805000,5.0,2.308308988158622,-4.8910625469704225,complete
flow_npe,4,1000,15,19,1805000,5.0,2.810940386625099,-4.176730560166683,complete
flow_npe,5,1000,15,19,1805000,5.0,2.348026067949877,-4.831201138379036,complete
flow_npe,6,1000,15,19,1805000,5.0,3.7683487703612197,-2.9702084348788382,complete
flow_npe,7,1000,15,19,1805000,5.0,2.5309771250098296,-4.582038679315279,complete
flow_npe,0,1000,15,19,3610000,10.0,1.8907663019801908,-5.131212938854488,complete
flow_npe,1,1000,15,19,3610000,10.0,2.10756224184051,-4.704618990130545,complete
flow_npe,2,1000,15,19,3610000,10.0,6.341016613321099,-0.7613637940795186,complete
flow_npe,3,1000,15,19,3610000,10.0,2.2286965716551843,-4.737001962677692,complete
flow_npe,4,1000,15,19,3610000,10.0,,,missing_diagnostics
flow_npe,5,1000,15,19,3610000,10.0,2.5064671166044437,-4.759007264168575,complete
flow_npe,6,1000,15,19,3610000,10.0,3.2497569419614014,-3.569010238448929,complete
flow_npe,7,1000,15,19,3610000,10.0,4.324546783572681,-2.9006015365939737,complete
flow_npe,0,1000,19,23,2645000,5.0,2.6748044780710396,-4.450673627985126,complete
flow_npe,1,1000,19,23,2645000,5.0,,,failed
flow_npe,2,1000,19,23,2645000,5.0,2.2894979832729954,-4.7744768275891465,complete
flow_npe,3,1000,19,23,2645000,5.0,2.2535307594718677,-4.8311711271250095,complete
flow_npe,4,1000,19,23,2645000,5.0,2.347814724376744,-4.654452892929535,complete
flow_npe,5,1000,19,23,2645000,5.0,2.7689506686437677,-4.516812049385934,complete
flow_npe,6,1000,19,23,2645000,5.0,3.220775885696781,-3.8732879933217936,complete
flow_npe,7,1000,19,23,2645000,5.0,2.7604642799236707,-4.45032658114697,complete
flow_npe,0,1000,19,23,5290000,10.0,2.319041368868284,-4.786415708718722,complete
flow_npe,1,1000,19,23,5290000,10.0,2.0703360461596754,-5.083016364609004,complete
flow_npe,2,1000,19,23,5290000,10.0,,,missing_diagnostics
flow_npe,3,1000,19,23,5290000,10.0,2.7341847827555883,-4.345693672559991,complete
flow_npe,4,1000,19,23,5290000,10.0,2.191619646506467,-5.017671676624764,complete
flow_npe,5,1000,19,23,5290000,10.0,2.299372661557381,-5.122845742561057,complete
flow_npe,6,1000,19,23,5290000,10.0,2.9711058893460174,-3.994582307562222,complete
flow_npe,7,1000,19,23,5290000,10.0,,,missing_diagnostics
flow_npe,0,1000,5,9,1620000,20.0,1.449717253336698,-4.467723997830144,complete
flow_npe,1,1000,5,9,1620000,20.0,2.549128214838375,-2.9249966751457146,complete
flow_npe,2,1000,5,9,1620000,20.0,1.3681907646532943,-4.179175105410152,complete
flow_npe,3,1000,5,9,1620000,20.0,1.382090154301632,-4.201527453008003,complete
flow_npe,4,1000,5,9,1620000,20.0,1.7531849704610678,-4.1028789802285175,complete
flow_npe,5,1000,5,9,1620000,20.0,2.3912558723790367,-3.6484942597779986,complete
flow_npe,6,1000,5,9,1620000,20.0,1.7576962822597395,-4.1207515146388545,complete
flow_npe,7,1000,5,9,1620000,20.0,1.6266373304404171,-4.358707163679515,complete
flow_npe,0,1000,5,9,405000,5.0,2.011928364241032,-4.047713571857815,complete
flow_npe,1,1000,5,9,405000,5.0,3.128665830625029,-2.4664659239578124,complete
flow_npe,2,1000,5,9,405000,5.0,2.4262816249666828,-3.2711631023471774,complete
flow_npe,3,1000,5,9,405000,5.0,1.9532215129994586,-3.745615336683424,complete
flow_npe,4,1000,5,9,405000,5.0,2.1419778934640936,-3.8370189532302295,complete
flow_npe,5,1000,5,9,405000,5.0,2.240775374514935,-3.791040463685973,complete
flow_npe,6,1000,5,9,405000,5.0,2.0877759246196184,-3.8014104482965707,complete
flow_npe,7,1000,5,9,405000,5.0,1.859956198383725,-4.109902717709832,complete
flow_npe,0,1000,5,9,810000,10.0,1.3732004731258332,-4.495094864140483,complete
flow_npe,1,1000,5,9,810000,10.0,3.5590629619741843,-2.388705395745938,complete
flow_npe,2,1000,5,9,810000,10.0,1.7887783426253763,-3.917331000144699,complete
flow_npe,3,1000,5,9,810000,10.0,1.5006745620227828,-4.067244686144616,complete
flow_npe,4,1000,5,9,810000,10.0,2.2240140005002984,-3.709146154292579,complete
flow_npe,5,1000,5,9,810000,10.0,2.2504727391932153,-3.700498506387663,complete
flow_npe,6,1000,5,9,810000,10.0,2.339636636912544,-3.5069035373286135,complete
flow_npe,7,1000,5,9,810000,10.0,1.8435455981475486,-4.052217836346304,complete
flow_npe,0,1000,7,11,1210000,10.0,2.1766781582161965,-4.218857371254182,complete
flow_npe,1,1000,7,11,1210000,10.0,1.9278050728528968,-4.42214505479514,complete
flow_npe,2,1000,7,11,1210000,10.0,1.814324538318199,-4.624132968333781,complete
flow_npe,3,1000,7,11,1210000,10.0,1.4303326731025496,-4.734659453963062,complete
flow_npe,4,1000,7,11,1210000,10.0,1.8408938953071496,-4.607942632494457,complete
flow_npe,5,1000,7,11,1210000,10.0,1.6006893646492626,-4.751292533572905,complete
flow_npe,6,1000,7,11,1210000,10.0,1.7598625785809852,-4.614479511524991,complete
flow_npe,7,1000,7,11,1210000,10.0,3.0459719765839957,-3.3010218473635407,complete
flow_npe,0,1000,7,11,2420000,20.0,1.912759119462254,-4.688931780925555,complete
flow_npe,1,1000,7,11,2420000,20.0,1.5137447270833468,-4.668867481335456,complete
flow_npe,2,1000,7,11,2420000,20.0,1.5480745285537627,-4.7436477669002866,complete
flow_npe,3,1000,7,11,2420000,20.0,2.1082950409701398,-4.2428364217637276,complete
flow_npe,4,1000,7,11,2420000,20.0,1.77166440771642,-4.669135627648271,complete
flow_npe,5,1000,7,11,2420000,20.0,2.3927822175788944,-4.06140682462806,complete
flow_npe,6,1000,7,11,2420000,20.0,2.2095253502314227,-4.227646649048399,complete
flow_npe,7,1000,7,11,2420000,20.0,1.949140585346992,-4.4350214103062156,complete
flow_npe,0,1000,7,11,605000,5.0,2.6940236847920755,-3.816703832007103,complete
flow_npe,1,1000,7,11,605000,5.0,1.8470667440615858,-4.426579030936862,complete
flow_npe,2,1000,7,11,605000,5.0,1.825627943903134,-4.524033321402105,complete
flow_npe,3,1000,7,11,605000,5.0,1.5597645819841643,-4.663922960251208,complete
