n_obs,n_sims,kl_median,n_seeds
100,100,10.386769730738044,79
100,460,8.936131049184972,79
100,1000,8.046650580438957,53
100,10000,6.4685254274742015,53
500,500,7.723115870000426,101
500,3107,5.384146725859665,101
500,11180,4.363206954375153,70
500,250000,3.3229431486325716,70
1000,1000,6.450909838622673,101
1000,6907,4.2167941685798915,70
1000,10000,4.675398551035824,1
1000,31622,3.0358960967527775,70
1000,1000000,2.665601043001667,70
5000,5000,5.23888341985953,101
5000,42585,2.5041727356253562,70
5000,300000,2.5410084547013545,1
5000,353553,1.9659526678553032,70
5000,25000000,2.2614617638237116,2
