n,N,N_label,seed_count,flow_median,flow_ci05,flow_ci95,gaussian_median,gaussian_ci05,gaussian_ci95,gaussian_minus_flow_median,gaussian_minus_flow_ci05,gaussian_minus_flow_ci95
100,100,N=n,72,9.830544101580788,9.490526843435255,10.461231000245302,9.423429978684178,8.829581910312342,9.688136491852797,-0.858085976293788,-1.041023928346096,-0.06819485258275293
100,460,N=n log(n),72,8.189079705677809,7.992469583587521,8.445075553836698,6.84732254102579,6.592853279658792,7.328741768863475,-1.109602037898744,-1.5625561508891361,-0.05795694793267936
100,1000,N=n^(3/2),72,6.8564120788641,6.48935215266029,7.147604313442853,6.289610433737961,6.016378498383798,6.387441390602945,-0.5055055392463328,-0.92248112977635,-0.16164054136449657
100,10000,N=n^2,72,4.309149165402916,4.093428229544804,4.497135321648441,4.139036535164806,4.003596090272586,4.287564995510955,-0.380378886702891,-0.5789562777827935,0.16129817444212557
500,500,N=n,101,9.017078517936277,8.833855096143889,9.606977548978191,8.279539420843143,8.165150807339437,8.55918883574767,-0.8563223978337913,-1.2299977650124134,-0.6383203103317792
500,3107,N=n log(n),101,6.442726632906739,6.305443261413029,6.624775416998718,7.178886320760463,6.950788487532887,7.32530534242973,0.8360269833017169,0.40734790696640566,1.0275875614536876
500,11180,N=n^(3/2),101,4.4087475106202145,4.302853864362491,4.516899491703732,4.5093659156086305,4.39994971367377,4.636927033645292,0.07700059136033488,-0.08834189923303803,0.20952041688027467
500,250000,N=n^2,101,2.069925324857908,1.977890387277468,2.218655317020368,2.8324777206575527,2.7272776772745537,2.9762285112077342,0.7146006374603004,0.6395273601973672,0.7566047870226793
1000,1000,N=n,101,8.879188793410842,8.721040986301597,9.1154234251913,9.04752765659914,8.875147356288362,9.158043727958727,0.02983549717504097,-0.2909811654894714,0.2724188631287676
1000,6907,N=n log(n),101,5.646776586593709,5.466064896801341,5.851890801566884,5.8311338685300464,5.72694942017995,5.965536621044566,0.21644160746984298,-0.06367950699567348,0.3543863459761649
1000,31622,N=n^(3/2),101,3.627918438329654,3.5273142642430813,3.7209225347961263,3.936997572649001,3.861564487029806,4.0242729652719165,0.2365823606927533,0.09265766473469084,0.3519087039966804
1000,1000000,N=n^2,101,1.8211863113345552,1.7473573886212523,1.9557541039044035,2.4505247839272903,2.3835286335233272,2.575457679365918,0.5495315302295694,0.4798212106806883,0.6306546029076747
5000,5000,N=n,101,6.86672659538406,6.616248015660311,7.114618592732329,7.692437307976948,7.543450640955891,7.906771985168218,0.7236337734898646,0.4645279479789881,0.9388967587573083
5000,42585,N=n log(n),101,4.086927261245497,3.924189246241627,4.168698569411753,4.508119924504444,4.443920043127686,4.597891442741742,0.4112808927508862,0.2316569640550652,0.5237810963310441
5000,353553,N=n^(3/2),101,2.5890431442191244,2.4562698175092663,2.689415520791405,2.984073887014313,2.914171906938938,3.0850506690731745,0.4344479358690996,0.2735352266634772,0.7492509433104457
5000,25000000,N=n^2,91,2.2181328486528167,2.161875149481488,2.268689339378279,2.674945259515939,2.525771647043396,2.823244709975836,0.37843162945094155,0.2330564329648408,0.657183264245645
10000,10000,N=n,101,6.342233281150057,6.190790356724858,6.488772518475774,6.658120695439203,6.477618696933954,6.719977403219136,0.2747332974250556,0.07248721256740787,0.5473134832068389
10000,92103,N=n log(n),101,3.672045338889254,3.581863702823569,3.7808512527538376,4.216870763697565,4.110703373284637,4.300931584804031,0.5865477170649473,0.4112537499564115,0.6951007064960044
10000,1000000,N=n^(3/2),101,2.556864426900669,2.4798893094627883,2.622062528020543,2.8800364173241104,2.8150932377058315,2.9818577356228517,0.25313656125503226,0.0634108830768696,0.4618638303206577
20000,20000,N=n,101,5.86627466767336,5.728511851114916,5.959835328643018,6.134645481605245,6.052283420804739,6.291370386852493,0.45281792052465786,0.2152986496258551,0.5065368336106584
20000,198069,N=n log(n),101,3.5549725172206017,3.484755513760477,3.6933493151151255,4.09519755803527,3.962857155999469,4.238244251951778,0.446591697502392,0.26045726755259224,0.6543294364951664
20000,2828427,N=n^(3/2),47,2.820402359960944,2.713900311672694,3.0409850243190877,3.0022761943010745,2.8750169912522,3.1159392917324182,0.06179095698899184,-0.06859416090806647,0.3915915436273334
