n_obs,n_sims,budget_label,delta0,rows,complete_rows,shape_ok_rows,finite_kl_rows,infinite_kl_rows,nan_kl_rows,finite_kl_fraction,infinite_kl_fraction,finite_kl_min,finite_kl_q25,finite_kl_median,finite_kl_q75,finite_kl_max,finite_mmd_rows,mmd_min,mmd_q25,mmd_median,mmd_q75,mmd_max
100,100,N=n,0.01,101,0,0,101,0,0,1.0,0.0,0.9544944550236146,3.4722004373402195,4.913044972202636,5.960029371900627,7.625957316300423,0,,,,,
100,100,N=n,0.1,101,0,0,101,0,0,1.0,0.0,0.6796103234585609,2.9354964304238926,4.49636452625742,5.518552902000701,6.938799495529463,0,,,,,
100,100,N=n,0.25,101,0,0,101,0,0,1.0,0.0,0.5863413070574987,2.2738925636792087,3.723554859026939,4.676606562293371,6.544136444447462,0,,,,,
100,100,N=n,0.5,101,0,0,101,0,0,1.0,0.0,0.3260767721239574,1.2506051824041235,2.0637950195957724,3.01537132476881,5.180301444355272,0,,,,,
100,100,N=n,0.75,101,0,0,101,0,0,1.0,0.0,0.40938574090392205,0.7109702574842489,1.0232363847278911,1.399106816953177,3.61065737433017,0,,,,,
100,100,N=n,0.99,101,0,0,101,0,0,1.0,0.0,0.36203005728432613,0.6760830554939303,0.8425931701375351,1.1026581854340045,2.0023939437181157,0,,,,,
100,460,N=n log(n),0.01,101,0,0,101,0,0,1.0,0.0,1.9386360147424548,5.6089274897211325,6.170148548966919,6.455162321185013,7.138318667321682,0,,,,,
100,460,N=n log(n),0.1,101,0,0,101,0,0,1.0,0.0,1.4541680667671246,5.054198628731966,5.689041453297514,6.021078736664972,6.762933568561346,0,,,,,
100,460,N=n log(n),0.25,101,0,0,101,0,0,1.0,0.0,1.152794104895505,4.4408738840365265,5.0074984114054235,5.398293945831677,6.1640302982407436,0,,,,,
100,460,N=n log(n),0.5,101,0,0,101,0,0,1.0,0.0,0.763933603737217,2.535962799195802,3.1423877934423547,3.5453982077512682,4.592570686448594,0,,,,,
100,460,N=n log(n),0.75,101,0,0,101,0,0,1.0,0.0,0.5261746442705955,1.0101740386452103,1.2165347045137829,1.422766595076296,2.1679076063574505,0,,,,,
100,460,N=n log(n),0.99,101,0,0,101,0,0,1.0,0.0,0.15180188051367216,0.36001658497200345,0.41337133640950907,0.49768454173483934,0.8905074658702428,0,,,,,
100,1000,N=n^(3/2),0.01,101,0,0,101,0,0,1.0,0.0,5.257290881030428,6.3693633944964665,6.57604941766431,6.824771404632398,7.953614930995576,0,,,,,
100,1000,N=n^(3/2),0.1,101,0,0,101,0,0,1.0,0.0,4.885926624748588,5.8226612251908225,6.086615386014818,6.42358966348019,7.2100020722929585,0,,,,,
100,1000,N=n^(3/2),0.25,101,0,0,101,0,0,1.0,0.0,4.09560529746451,5.193739993750045,5.480037971562307,5.743191831862185,6.719796828077029,0,,,,,
100,1000,N=n^(3/2),0.5,101,0,0,101,0,0,1.0,0.0,2.2243796993752376,3.176527304256828,3.4780813784340845,3.8495501179699283,4.638141372908539,0,,,,,
100,1000,N=n^(3/2),0.75,101,0,0,101,0,0,1.0,0.0,0.6760075690556839,1.094969672639708,1.2628629934562383,1.4170577616585136,1.8779482173250808,0,,,,,
100,1000,N=n^(3/2),0.99,101,0,0,101,0,0,1.0,0.0,0.13349148550880743,0.2373792336369785,0.28667345313756026,0.3284000390627447,0.49573219023652065,0,,,,,
100,10000,N=n^2,0.01,99,0,0,99,0,0,1.0,0.0,4.4988858198278985,5.836859429261645,6.219802486905106,6.529627144925965,7.1560729270687045,0,,,,,
100,10000,N=n^2,0.1,99,0,0,99,0,0,1.0,0.0,3.7450896232803523,4.978296155761015,5.407318887218197,5.919202581730886,7.012974117381209,0,,,,,
100,10000,N=n^2,0.25,99,0,0,99,0,0,1.0,0.0,3.2714503914192012,4.3247729157367285,4.771254022156325,5.090230957187611,5.947345819023408,0,,,,,
100,10000,N=n^2,0.5,99,0,0,99,0,0,1.0,0.0,1.5825968466889515,2.1644804317979904,2.3926067227277596,2.6282137690974197,3.5312881353337198,0,,,,,
100,10000,N=n^2,0.75,99,0,0,99,0,0,1.0,0.0,0.40618083341217676,0.6372687624252016,0.7225925816384807,0.7966099139544731,1.0792029616336352,0,,,,,
