delta0,seed,n_obs,n_sims,kl
0.01,0,1000,1000,11.485048741603892
0.01,1,1000,1000,11.574865171928455
0.01,2,1000,1000,11.538460916181364
0.01,3,1000,1000,11.359110272783564
0.01,4,1000,1000,10.894131939542072
0.01,5,1000,1000,11.192739352282464
0.01,6,1000,1000,11.048721961960663
0.01,7,1000,1000,11.531450702048144
0.01,8,1000,1000,10.764332256668594
0.01,9,1000,1000,11.064784507714059
0.01,10,1000,1000,10.605990567869446
0.01,11,1000,1000,11.207168603578785
0.01,12,1000,1000,11.158980758745237
0.01,13,1000,1000,11.609086280659255
0.01,14,1000,1000,11.547426182337357
0.01,15,1000,1000,10.690306690380995
0.01,16,1000,1000,11.223608610406199
0.01,17,1000,1000,11.025769451356977
0.01,18,1000,1000,11.329432868129723
0.01,19,1000,1000,11.524768580512907
0.01,20,1000,1000,10.908485204165737
0.01,21,1000,1000,11.126654805721085
0.01,22,1000,1000,11.074832126939501
0.01,23,1000,1000,10.990186925499154
0.01,24,1000,1000,11.462534148942254
0.01,25,1000,1000,11.389128545647575
0.01,26,1000,1000,11.438070505161173
0.01,27,1000,1000,11.307997542993668
0.01,28,1000,1000,11.22097808179021
0.01,29,1000,1000,11.311962169836233
0.01,30,1000,1000,11.07239943297666
0.01,31,1000,1000,11.032839916614645
0.01,32,1000,1000,11.153356435559635
0.01,33,1000,1000,11.373945120292117
0.01,34,1000,1000,10.793985400022914
0.01,35,1000,1000,10.993906104664754
0.01,36,1000,1000,11.40222694992243
0.01,37,1000,1000,11.149506041177052
0.01,38,1000,1000,11.25897090409982
0.01,39,1000,1000,11.0392397591501
0.01,40,1000,1000,10.521227329826168
0.01,41,1000,1000,11.113759211910889
0.01,42,1000,1000,11.505538019767922
0.01,43,1000,1000,11.770228713151514
0.01,44,1000,1000,11.012491141455506
0.01,45,1000,1000,11.528729170596282
0.01,46,1000,1000,11.443204066134344
0.01,47,1000,1000,11.406118484547157
0.01,48,1000,1000,11.161444445540667
0.01,49,1000,1000,10.757308209058568
0.01,50,1000,1000,10.8686640324704
0.01,51,1000,1000,11.381903010055627
0.01,52,1000,1000,11.02707525085182
0.01,53,1000,1000,11.217304032725053
0.01,54,1000,1000,11.220494160815587
0.01,55,1000,1000,11.416770764713608
0.01,56,1000,1000,11.243227046435731
0.01,57,1000,1000,11.147853464085806
0.01,58,1000,1000,11.129517876409594
0.01,59,1000,1000,11.510626644402477
0.01,60,1000,1000,11.37391995959327
0.01,61,1000,1000,11.684149589911032
0.01,62,1000,1000,11.388724097595038
0.01,63,1000,1000,11.524578117659486
0.01,64,1000,1000,10.838549491339524
0.01,65,1000,1000,11.434714322529388
0.01,66,1000,1000,11.349447349448319
0.01,67,1000,1000,11.404788623046624
0.01,68,1000,1000,11.654364296736793
0.01,69,1000,1000,11.051837083009099
0.01,70,1000,1000,11.002218354521094
0.01,71,1000,1000,11.415657662080475
0.01,72,1000,1000,11.442416141988287
0.01,73,1000,1000,11.27249701759664
0.01,74,1000,1000,10.909275859082593
0.01,75,1000,1000,11.424404257064957
0.01,76,1000,1000,11.032609049817296
0.01,77,1000,1000,11.369456321049281
0.01,78,1000,1000,11.47577309441485
0.01,79,1000,1000,11.64190747438449
0.01,80,1000,1000,10.738252351062341
0.01,81,1000,1000,11.176338992313399
0.01,82,1000,1000,11.362007141513837
0.01,83,1000,1000,11.16718938044278
0.01,84,1000,1000,10.78819491253366
0.01,85,1000,1000,11.89362958282617
0.01,86,1000,1000,10.85965208802322
0.01,87,1000,1000,11.20609379281861
0.01,88,1000,1000,11.604595203981665
0.01,89,1000,1000,11.410423418944003
0.01,90,1000,1000,10.877355320916669
0.01,91,1000,1000,10.887379099028587
0.01,92,1000,1000,11.433841364476532
0.01,93,1000,1000,11.4526414939761
0.01,94,1000,1000,11.041306862132805
0.01,95,1000,1000,11.220002860405984
0.01,96,1000,1000,11.16027472293545
0.01,97,1000,1000,11.002749996833252
0.01,98,1000,1000,11.352068549547475
0.01,99,1000,1000,10.905786299501488
0.01,100,1000,1000,11.153248081728476
0.01,0,1000,6907,11.23871857979806
0.01,1,1000,6907,11.28141116845829
0.01,2,1000,6907,11.579720536052822
0.01,3,1000,6907,11.814385123501497
0.01,4,1000,6907,11.39129273088208
0.01,5,1000,6907,11.4321301132767
0.01,6,1000,6907,11.333243930615444
0.01,7,1000,6907,11.355764743381485
0.01,8,1000,6907,11.672258503186127
0.01,9,1000,6907,11.52460306962079
0.01,10,1000,6907,11.536609752862732
0.01,11,1000,6907,11.12976782462975
0.01,12,1000,6907,10.889903061707576
0.01,13,1000,6907,11.488865656959462
0.01,14,1000,6907,11.053728409125233
0.01,15,1000,6907,11.054779279113713
0.01,16,1000,6907,11.766748114702215
0.01,17,1000,6907,11.14942374058591
0.01,18,1000,6907,11.4005187575627
0.01,19,1000,6907,11.435615200533396
0.01,20,1000,6907,11.340629820332508
0.01,21,1000,6907,11.420429167690555
0.01,22,1000,6907,11.395276882231682
0.01,23,1000,6907,11.854526965596683
0.01,24,1000,6907,11.365533896919263
