method,n_obs,n_sims,budget_label,delta0,rows,complete_rows,status_complete_rows,nonfinite_kl_status_rows,missing_rows,timed_out_rows,partial_training_only_rows,bad_shape_rows,shape_ok_rows,finite_kl_rows,infinite_kl_rows,nan_kl_rows,finite_kl_fraction,infinite_kl_fraction,finite_kl_min,finite_kl_q25,finite_kl_median,finite_kl_q75,finite_kl_max,finite_mmd_rows,mmd_min,mmd_q25,mmd_median,mmd_q75,mmd_max
flow_npe,100,100,N=n,1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,0.3201023579558074,0.689710820178426,0.8352573631364221,1.119703464105012,2.166119852130872,101,0.006473541259765625,0.04953110218048096,0.09112894535064697,0.14835524559020996,0.3259504437446594
flow_npe,100,460,N=n log(n),1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,0.14377616369496304,0.3568449393980868,0.429461512168426,0.5083351664174093,0.7540395300014987,101,0.0036057233810424805,0.01402425765991211,0.020803213119506836,0.032006025314331055,0.08244156837463379
flow_npe,100,1000,N=n^(3/2),1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,0.12857955105972044,0.21961712983600226,0.2542432090676553,0.30249510796744356,0.4941859684594006,101,0.0007823705673217773,0.004565238952636719,0.00882863998413086,0.013031601905822754,0.03175795078277588
flow_npe,100,10000,N=n^2,1.0,101,99,99,0,0,0,2,0,99,99,0,2,0.9801980198019802,0.0,-0.03848669560439261,0.05092205946818047,0.08402437348458333,0.11722118906700743,0.2883761558720904,99,6.61611557006836e-05,0.0012552738189697266,0.003258943557739258,0.005601227283477783,0.021892189979553223
flow_npe,500,500,N=n,1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,0.15205646397621614,0.3993885461082134,0.49818182128010663,0.6714605483393026,1.1307277730849592,101,0.0005757808685302734,0.0056591033935546875,0.012276768684387207,0.02572762966156006,0.09159982204437256
flow_npe,500,3107,N=n log(n),1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,-0.05436279549168803,0.07028999377050994,0.11242288159571097,0.17127379502149742,0.3551388129585161,101,0.00010263919830322266,0.0021358728408813477,0.0043942928314208984,0.00801551342010498,0.02476942539215088
flow_npe,500,11180,N=n^(3/2),1.0,101,100,100,0,0,0,1,0,100,100,0,1,0.9900990099009901,0.0,-0.07059980927159136,0.021856156340447984,0.05820421288720401,0.09549025549371679,0.2002630066876715,100,-2.1576881408691406e-05,0.001142740249633789,0.002459704875946045,0.005174130201339722,0.012750506401062012
flow_npe,500,250000,N=n^2,1.0,101,99,99,0,0,0,2,0,99,99,0,2,0.9801980198019802,0.0,-0.07219088361719388,-0.0028533655146145646,0.021382993789644467,0.058821381141866684,0.16047607632906888,99,-6.580352783203125e-05,0.00035196542739868164,0.0006996393203735352,0.0010148286819458008,0.0028401613235473633
flow_npe,1000,1000,N=n,1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,0.05844886965196336,0.21998617899186595,0.28325958469781826,0.38329508131160933,0.7125221023336077,101,7.43865966796875e-05,0.003062009811401367,0.006737709045410156,0.011482477188110352,0.03463447093963623
flow_npe,1000,6907,N=n log(n),1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,-0.0646415604927072,0.04719407894590641,0.08950839443969143,0.12601357303736793,0.35056777881328033,101,-3.4570693969726562e-06,0.0011906623840332031,0.003124237060546875,0.006764888763427734,0.01878523826599121
flow_npe,1000,31622,N=n^(3/2),1.0,101,100,100,0,0,0,1,0,100,100,0,1,0.9900990099009901,0.0,-0.06949665661028827,0.007254110302030653,0.04354588944050806,0.08033918011138462,0.2819862735469298,100,-3.8504600524902344e-05,0.0007121562957763672,0.0013987421989440918,0.0022788047790527344,0.013092517852783203
flow_npe,1000,1000000,N=n^2,1.0,101,77,77,0,0,0,24,0,77,77,0,24,0.7623762376237624,0.0,-0.06665426872449669,-0.01667236859382812,0.014185713448369226,0.03831821991050452,0.09397741195771261,77,-2.777576446533203e-05,0.00018656253814697266,0.0003902912139892578,0.0007854700088500977,0.0022513866424560547
flow_npe,5000,5000,N=n,1.0,101,101,101,0,0,0,0,0,101,101,0,0,1.0,0.0,-0.10226559163050206,0.06589646908961369,0.11171748956828868,0.1990531500484478,0.46009666983268344,101,-2.8371810913085938e-05,0.0011196136474609375,0.002617359161376953,0.005075573921203613,0.01479494571685791
