method,seed,n_obs,d_s,d,N_sims,N_over_d2n,theta_kl,cross_entropy,status
flow_npe,0,1000,11,13,1690000,10.0,0.03884841406715141,-4.037996336929073,complete
flow_npe,1,1000,11,13,1690000,10.0,0.1882495792327624,-4.05468626524951,complete
flow_npe,2,1000,11,13,1690000,10.0,-0.06804925794783809,-4.144701075480294,complete
flow_npe,3,1000,11,13,1690000,10.0,0.11405723788694261,-4.288223735667689,complete
flow_npe,4,1000,11,13,1690000,10.0,0.042285886541203035,-3.9079050337325762,complete
flow_npe,5,1000,11,13,1690000,10.0,0.10633852051826855,-4.075807722901642,complete
flow_npe,6,1000,11,13,1690000,10.0,-0.0016209327266235507,-4.211457624625946,complete
flow_npe,7,1000,11,13,1690000,10.0,0.06790614942598595,-3.950759040835737,complete
flow_npe,0,1000,11,13,3380000,20.0,0.031011038272474017,-4.009843767856373,complete
flow_npe,1,1000,11,13,3380000,20.0,0.047764779963289386,-4.099236770482668,complete
flow_npe,2,1000,11,13,3380000,20.0,-0.012215330169674353,-4.193226685957316,complete
flow_npe,3,1000,11,13,3380000,20.0,-0.014949794772399983,-4.302568272212268,complete
flow_npe,4,1000,11,13,3380000,20.0,0.030815195178342848,-3.8828040807898194,complete
flow_npe,5,1000,11,13,3380000,20.0,0.05633559448911103,-4.070517828437636,complete
flow_npe,6,1000,11,13,3380000,20.0,0.07381826245489838,-4.260085646075336,complete
flow_npe,7,1000,11,13,3380000,20.0,0.018464881884716018,-4.00024097060472,complete
flow_npe,0,1000,11,13,845000,5.0,0.057005907958740734,-3.975326248554551,complete
flow_npe,1,1000,11,13,845000,5.0,0.10990617619767916,-4.151826755597,complete
flow_npe,2,1000,11,13,845000,5.0,0.0383729244479359,-4.216997884365435,complete
flow_npe,3,1000,11,13,845000,5.0,0.21181368930818925,-4.21703232852908,complete
flow_npe,4,1000,11,13,845000,5.0,0.14247138416007551,-3.872482609009201,complete
flow_npe,5,1000,11,13,845000,5.0,0.10031592011115163,-4.0908434800563285,complete
flow_npe,6,1000,11,13,845000,5.0,-0.05115308329977747,-4.26276419186224,complete
flow_npe,7,1000,11,13,845000,5.0,0.14841271218161967,-3.942744079344311,complete
flow_npe,0,1000,15,17,1445000,5.0,0.15049041934998192,-3.869909183047623,complete
flow_npe,1,1000,15,17,1445000,5.0,0.13605463184841718,-3.9691923114818066,complete
flow_npe,2,1000,15,17,1445000,5.0,0.11218448153197307,-4.167753641684797,complete
flow_npe,3,1000,15,17,1445000,5.0,0.0026027876086137584,-4.277398667417343,complete
flow_npe,4,1000,15,17,1445000,5.0,0.24223155609581104,-3.57570722050533,complete
flow_npe,5,1000,15,17,1445000,5.0,-0.014451833499181487,-4.243434308054874,complete
flow_npe,6,1000,15,17,1445000,5.0,-0.014846081300211079,-4.277463606049608,complete
flow_npe,7,1000,15,17,1445000,5.0,0.24212805225546977,-4.142679431974847,complete
flow_npe,0,1000,15,17,2890000,10.0,0.15977123939285562,-3.7607660743337155,complete
flow_npe,1,1000,15,17,2890000,10.0,0.04268475351535671,-4.030827378951868,complete
flow_npe,2,1000,15,17,2890000,10.0,0.0452153255058986,-4.206143950441678,complete
flow_npe,3,1000,15,17,2890000,10.0,0.12354086195096557,-4.26616242992226,complete
flow_npe,4,1000,15,17,2890000,10.0,0.33365819685445924,-3.5611554561416754,complete
flow_npe,5,1000,15,17,2890000,10.0,0.10475652495449128,-4.128679458271758,complete
flow_npe,6,1000,15,17,2890000,10.0,0.022798043335147247,-4.3160998323025455,complete
flow_npe,7,1000,15,17,2890000,10.0,0.1058739841270586,-4.129812325859913,complete
flow_npe,0,1000,15,17,5780000,20.0,0.13004851351735947,-3.898631730562274,complete
flow_npe,1,1000,15,17,5780000,20.0,0.18883169988105475,-3.9702092053455464,complete
flow_npe,2,1000,15,17,5780000,20.0,0.03139242128657606,-4.160351803886378,complete
flow_npe,3,1000,15,17,5780000,20.0,0.2668631143141533,-4.109790518922624,complete
flow_npe,4,1000,15,17,5780000,20.0,0.13077299054863684,-3.736402420388321,complete
flow_npe,5,1000,15,17,5780000,20.0,0.09748853594534578,-4.199657830906514,complete
flow_npe,6,1000,15,17,5780000,20.0,0.004865802525493997,-4.305807562307953,complete
flow_npe,7,1000,15,17,5780000,20.0,0.17921417230566325,-4.165739044142724,complete
flow_npe,0,1000,3,5,125000,5.0,0.03459575229899926,-3.1028285787256893,complete
flow_npe,1,1000,3,5,125000,5.0,0.00394155105850097,-3.212496081354644,complete
flow_npe,2,1000,3,5,125000,5.0,-0.01631480680236391,-3.2744231769818053,complete
flow_npe,3,1000,3,5,125000,5.0,0.015008494386977322,-3.497183593745295,complete
flow_npe,4,1000,3,5,125000,5.0,0.13645178159489138,-3.096363202175112,complete
