method,t1,t2
flow-NPE,0.5928524732589722,0.09086143970489502
flow-NPE,0.6400594711303711,0.037183403968811035
flow-NPE,0.5871690511703491,0.1738358736038208
flow-NPE,0.6582159996032715,0.044508934020996094
flow-NPE,0.6048052310943604,0.08674860000610352
flow-NPE,0.6238504648208618,0.05468761920928955
flow-NPE,0.646105170249939,0.1490640640258789
flow-NPE,0.5952661037445068,0.046561241149902344
flow-NPE,0.6712095737457275,0.1495523452758789
flow-NPE,0.6606886386871338,0.06794464588165283
flow-NPE,0.6085593700408936,0.06788623332977295
flow-NPE,0.6572463512420654,0.14046978950500488
flow-NPE,0.6249352693557739,0.137528657913208
flow-NPE,0.5803341865539551,0.13527822494506836
flow-NPE,0.6649284362792969,0.1256403923034668
flow-NPE,0.5701339244842529,0.13045310974121094
flow-NPE,0.6347203254699707,0.1478511095046997
flow-NPE,0.6583806276321411,0.02884995937347412
flow-NPE,0.6279983520507812,0.2639782428741455
flow-NPE,0.5797897577285767,0.14886915683746338
flow-NPE,0.6444112062454224,0.10358667373657227
flow-NPE,0.5489153861999512,0.05583953857421875
flow-NPE,0.5643157958984375,0.09496819972991943
flow-NPE,0.6203540563583374,0.12072384357452393
flow-NPE,0.6242409944534302,0.09497761726379395
flow-NPE,0.6361769437789917,0.18932271003723145
flow-NPE,0.6280994415283203,0.08977830410003662
flow-NPE,0.6205949783325195,0.08399355411529541
flow-NPE,0.6094896793365479,0.06971418857574463
flow-NPE,0.5516396760940552,0.07978928089141846
flow-NPE,0.5993424654006958,0.20203173160552979
flow-NPE,0.6257981061935425,0.1973496675491333
flow-NPE,0.6112333536148071,0.11445224285125732
flow-NPE,0.6531946659088135,0.05183827877044678
flow-NPE,0.6199795007705688,0.09760689735412598
flow-NPE,0.6432849168777466,0.08501195907592773
flow-NPE,0.6101483106613159,0.12588441371917725
flow-NPE,0.5803672075271606,0.03806614875793457
flow-NPE,0.5878863334655762,0.0561596155166626
flow-NPE,0.5745828151702881,0.13525593280792236
flow-NPE,0.6554815769195557,0.01176309585571289
flow-NPE,0.6074227094650269,0.07636713981628418
flow-NPE,0.6770913600921631,0.06831872463226318
flow-NPE,0.5848462581634521,0.057671189308166504
flow-NPE,0.6105213165283203,0.08719313144683838
flow-NPE,0.7044376134872437,0.04908156394958496
flow-NPE,0.636059045791626,0.13950896263122559
flow-NPE,0.5762901306152344,0.09921562671661377
flow-NPE,0.6007623672485352,-0.0024347305297851562
flow-NPE,0.6354254484176636,0.16495811939239502
flow-NPE,0.6455191373825073,0.044586896896362305
flow-NPE,0.6357084512710571,0.14341747760772705
flow-NPE,0.6610091924667358,0.12819123268127441
flow-NPE,0.6129181385040283,0.1712261438369751
flow-NPE,0.6301543712615967,0.13554954528808594
flow-NPE,0.568560004234314,0.0851898193359375
flow-NPE,0.637822151184082,0.13260817527770996
flow-NPE,0.6005356311798096,0.04186403751373291
flow-NPE,0.5693882703781128,0.1508082151412964
flow-NPE,0.6100891828536987,0.08357298374176025
flow-NPE,0.6347172260284424,0.13328325748443604
flow-NPE,0.6173847913742065,0.19939172267913818
flow-NPE,0.675412654876709,0.06693613529205322
flow-NPE,0.7193808555603027,0.10332059860229492
flow-NPE,0.6177693605422974,0.0958636999130249
flow-NPE,0.5834975242614746,0.1576303243637085
flow-NPE,0.5691356658935547,0.07511603832244873
flow-NPE,0.5323967933654785,0.11932909488677979
flow-NPE,0.6119937896728516,0.06250035762786865
flow-NPE,0.612541675567627,0.10888111591339111
flow-NPE,0.6024894714355469,0.09418714046478271
flow-NPE,0.6456464529037476,0.063132643699646
