delta0,n_obs,n_sims,kl_median,n_seeds,method
0.01,100,100,4.913044972202636,101,flow_npe
0.01,100,460,6.170148548966919,101,flow_npe
0.01,100,1000,6.57604941766431,101,flow_npe
0.01,100,10000,6.219802486905106,99,flow_npe
0.01,500,500,11.267014313162512,101,flow_npe
0.01,500,3107,12.075086643308358,101,flow_npe
0.01,500,11180,12.07213321456896,101,flow_npe
0.01,500,250000,11.01879544454298,96,flow_npe
0.01,1000,1000,12.744888280782192,101,flow_npe
0.01,1000,6907,12.93464957269513,101,flow_npe
0.01,1000,31622,12.765911971016354,100,flow_npe
0.01,1000,1000000,11.566276178528511,80,flow_npe
0.01,5000,5000,14.536178378335473,101,flow_npe
0.01,5000,42585,14.591065713731275,99,flow_npe
0.01,5000,353553,14.103556164508904,95,flow_npe
0.01,5000,25000000,,0,flow_npe
0.99,100,100,0.8425931701375351,101,flow_npe
0.99,100,460,0.413371336409509,101,flow_npe
0.99,100,1000,0.2866734531375602,101,flow_npe
0.99,100,10000,0.1012023891159778,99,flow_npe
0.99,500,500,0.6051810611833767,101,flow_npe
0.99,500,3107,0.1214319699111157,101,flow_npe
0.99,500,11180,0.0613283481307348,101,flow_npe
0.99,500,250000,0.0345494645108377,96,flow_npe
0.99,1000,1000,0.3850308129997149,101,flow_npe
0.99,1000,6907,0.0940564655240219,101,flow_npe
0.99,1000,31622,0.041539363898368,100,flow_npe
0.99,1000,1000000,0.0210452099781777,80,flow_npe
0.99,5000,5000,0.1299044399445707,101,flow_npe
0.99,5000,42585,0.0501469591463403,99,flow_npe
0.99,5000,353553,0.0239250387839077,95,flow_npe
0.99,5000,25000000,,0,flow_npe
1.0,100,100,0.8352573631364221,101,flow_npe
1.0,100,460,0.429461512168426,101,flow_npe
1.0,100,1000,0.2542432090676553,101,flow_npe
1.0,100,10000,0.0840243734845833,99,flow_npe
1.0,500,500,0.4981818212801066,101,flow_npe
1.0,500,3107,0.1124228815957109,101,flow_npe
1.0,500,11180,0.058204212887204,100,flow_npe
1.0,500,250000,0.0213829937896444,99,flow_npe
1.0,1000,1000,0.2832595846978182,101,flow_npe
1.0,1000,6907,0.0895083944396914,101,flow_npe
1.0,1000,31622,0.043545889440508,100,flow_npe
1.0,1000,1000000,0.0141857134483692,77,flow_npe
1.0,5000,5000,0.1117174895682886,101,flow_npe
1.0,5000,42585,0.055226162182985,99,flow_npe
1.0,5000,353553,0.0191703395312084,96,flow_npe
1.0,5000,25000000,,0,flow_npe
0.01,1000,1000,11.220494160815589,101,gaussian_npe
0.01,1000,6907,11.357790570911384,101,gaussian_npe
0.01,1000,31622,11.267548221417258,101,gaussian_npe
0.01,1000,1000000,10.931920186504795,101,gaussian_npe
0.99,1000,1000,0.2595289294331863,101,gaussian_npe
0.99,1000,6907,0.0617638260804163,101,gaussian_npe
0.99,1000,31622,0.0507872301314791,101,gaussian_npe
0.99,1000,1000000,0.0407291122984956,101,gaussian_npe
1.0,100,100,0.6538464178309105,101,gaussian_npe
1.0,100,460,0.1919745923979186,101,gaussian_npe
1.0,100,1000,0.2035512715965672,101,gaussian_npe
1.0,100,10000,0.1191000486492892,99,gaussian_npe
1.0,500,500,0.2459885030972178,101,gaussian_npe
1.0,500,3107,0.0553677670291263,101,gaussian_npe
1.0,500,11180,0.0533135245025623,100,gaussian_npe
1.0,500,250000,0.0299216588978609,100,gaussian_npe
1.0,1000,1000,0.1952734789603327,101,gaussian_npe
1.0,1000,6907,0.0647273972714175,101,gaussian_npe
1.0,1000,31622,0.0599114782326711,100,gaussian_npe
1.0,1000,1000000,0.0251118330953998,87,gaussian_npe
1.0,5000,5000,0.0943638457680015,101,gaussian_npe
1.0,5000,42585,0.0526079663133867,99,gaussian_npe
1.0,5000,353553,0.0249880207088834,97,gaussian_npe
1.0,5000,25000000,22.39586427066803,3,gaussian_npe
