n,N,N_label,standard_paper_grid,seed,flow_theta_kl,gaussian_theta_kl
100,100,N=n,1,0,8.179093218392893,6.709790983467643
100,100,N=n,1,1,8.326078886046693,9.374296779655277
100,100,N=n,1,2,8.672413079302897,9.561149774577778
100,100,N=n,1,3,7.248364421791499,6.335249510293076
100,100,N=n,1,4,11.520234630661085,7.263915653090845
100,100,N=n,1,5,9.094400123698028,7.485406433648997
100,100,N=n,1,6,10.65496874716986,10.668628035553532
100,100,N=n,1,7,12.068895612139409,6.2311230385878185
100,100,N=n,1,8,11.45664477164336,10.72563953383759
100,100,N=n,1,9,8.992253451745622,5.811701181402244
100,100,N=n,1,10,9.06316530132105,9.715970919679563
100,100,N=n,1,11,10.493870275981894,11.009614407802424
100,100,N=n,1,12,10.327903728957088,13.515086295233846
100,100,N=n,1,13,7.354407709257246,6.211569995947907
100,100,N=n,1,14,10.90367990311364,10.51082472911153
100,100,N=n,1,15,7.769268420950405,8.619897013004222
100,100,N=n,1,16,10.113334698053592,11.126690023163087
100,100,N=n,1,17,10.361942289693456,8.997164517393564
100,100,N=n,1,18,8.96461620261895,8.023348823173551
100,100,N=n,1,19,11.498503026833957,9.704503371709212
100,100,N=n,1,20,9.914273012167596,6.99361544462888
100,100,N=n,1,21,10.698715712561096,5.705622641708165
100,100,N=n,1,22,9.09348980136662,7.9044096271470226
100,100,N=n,1,23,9.411964158280528,9.60798258625357
100,100,N=n,1,24,9.312242481812548,9.454917939302552
100,100,N=n,1,25,10.6838007070523,8.54026771830072
100,100,N=n,1,26,9.116477788203476,6.304591054046567
100,100,N=n,1,27,10.007987604176288,10.826976872990668
100,100,N=n,1,28,8.998594852845562,9.993032599477482
100,100,N=n,1,29,8.328742522465777,10.269171459875594
100,100,N=n,1,30,7.266783953428308,6.604279439094014
100,100,N=n,1,31,10.638036053135467,11.708617773467392
100,100,N=n,1,32,6.2859641574681975,10.456491568189255
100,100,N=n,1,33,8.653239449269702,8.482403459358927
100,100,N=n,1,34,9.386237318054722,9.892958455772591
100,100,N=n,1,35,8.905570020625513,7.705720346282205
100,100,N=n,1,36,8.651415760351078,7.972702660378832
100,100,N=n,1,37,9.23424336825594,9.096733347396418
100,100,N=n,1,38,10.765651425787189,10.398305917695032
100,100,N=n,1,39,7.998171594286001,11.785385726661069
100,100,N=n,1,40,9.2820835771558,8.064782000354743
100,100,N=n,1,41,8.87626613647688,11.588963972843612
100,100,N=n,1,42,10.384033278833666,12.247668304152237
100,100,N=n,1,43,11.048762958406652,11.32770218212266
100,100,N=n,1,44,9.347355941570994,8.646783016525688
100,100,N=n,1,45,8.734497311906997,9.920443913251813
100,100,N=n,1,46,12.07629307403268,12.626692223017224
100,100,N=n,1,47,7.251107930217317,11.09995141104874
100,100,N=n,1,48,8.82392465286017,9.130936899416623
100,100,N=n,1,49,10.708339612984544,11.342348374209152
100,100,N=n,1,50,9.081823981589745,7.73746740909383
100,100,N=n,1,51,12.730732824210724,9.88252304958806
100,100,N=n,1,52,9.106333773305552,9.64693759968183
100,100,N=n,1,53,12.292877137150828,6.387639452283387
100,100,N=n,1,54,9.553029499344545,11.240087984035489
100,100,N=n,1,55,8.648970777024003,8.316283403728224
100,100,N=n,1,56,9.33972153197873,8.761175059138042
100,100,N=n,1,57,12.117185510870472,7.661257265483089
100,100,N=n,1,58,11.380138936164142,10.626325066043552
100,100,N=n,1,59,11.700691673547892,11.239155387365544
