n,N,N_label,seed_count,flow_median,flow_ci05,flow_ci95,gaussian_median,gaussian_ci05,gaussian_ci95,gaussian_minus_flow_median,gaussian_minus_flow_ci05,gaussian_minus_flow_ci95
100,100,N=n,101,9.623855857902566,9.33972153197873,10.113334698053592,9.561149774577778,8.871195133491739,9.920443913251813,-0.33268737329577824,-0.7005729250453054,0.19103257890680503
100,460,N=n log(n),101,8.124910769220362,7.827785508099823,8.536909984237802,6.970013561904399,6.501266565760289,7.4107531263537325,-1.0126258721327792,-1.3996853845190715,-0.6168388787330175
100,1000,N=n^(3/2),101,6.726586240779905,6.609505134287192,6.892840033850114,6.166865445109253,5.929920781600278,6.303113765243296,-0.6107317820026177,-0.9863913157101978,-0.3295459711244977
100,10000,N=n^2,101,4.331124359244815,4.204806139439321,4.579486483574591,4.093436723229255,3.987163226915728,4.241714065792907,-0.24919720757880137,-0.49802050079937077,-0.16634303112483906
500,500,N=n,101,9.064589282261396,8.82297782354779,9.493497461429795,8.345445311434151,8.220512362000136,8.566390035397767,-0.7052852256261843,-1.1884451053042469,-0.41744441058690995
500,3107,N=n log(n),101,6.389933139059193,6.163315616862024,6.69390849110922,7.063113398055271,6.97338389478144,7.135899142616502,0.6283868160723713,0.42717798402739593,0.8653911026653001
500,11180,N=n^(3/2),101,4.395169943483712,4.3243293321210805,4.579959277695858,4.592516571578766,4.539048248041407,4.7097534917535535,0.023360849619224133,-0.17735270409253978,0.25548208401475225
500,250000,N=n^2,101,2.0358916906983326,1.974241147477922,2.1721795724940147,2.7614503090385116,2.639388079186875,2.9616038184947815,0.6740832373188586,0.5622810391533186,0.7856632866427071
1000,1000,N=n,101,8.864656833074285,8.728949010597168,9.166138676340376,9.142799111358396,8.997819721387186,9.256443551712774,0.1938440900377012,-0.14410193433359986,0.46686032986649373
1000,6907,N=n log(n),101,5.721345955013075,5.510616395759968,5.898807796466039,5.956680887571201,5.792285286644801,6.068056465214487,0.30911036133857106,0.0627367113662256,0.5870093048938143
1000,31622,N=n^(3/2),101,3.6474770365054647,3.560331870226424,3.760543321302814,3.87310702226854,3.794667422845282,3.9647785891100207,0.11299877412650661,-0.002051388009200128,0.31642195553673025
1000,1000000,N=n^2,101,1.8719965574477415,1.736490140098829,2.0255037845253807,2.480545812583893,2.320742027813314,2.6256735159371316,0.5231024934250339,0.3577437483921626,0.6394518879404116
5000,5000,N=n,101,6.866725807961423,6.616246255821337,7.114618120753652,7.692436899902485,7.553825864703482,7.923246708177751,0.7236318748171087,0.46452710480382553,0.9388947774979401
5000,42585,N=n log(n),101,4.086930633789993,3.924189468965309,4.168699572902684,4.508117482579549,4.443920070297255,4.597890719475013,0.41128404671780494,0.21770818739211872,0.5237825984980864
5000,353553,N=n^(3/2),101,2.589041559244491,2.438954368380282,2.6897082980591107,2.984073997719272,2.914171610291191,3.085052509220489,0.44911191564541975,0.2735348295211981,0.8020819592788455
5000,25000000,N=n^2,65,2.2247745081445007,2.1792973222869167,2.2719763255296255,2.6749442520176125,2.530236488508444,2.8418156729923627,0.3183214395129026,0.21637215571178814,0.6302017669108282
