cell,method,param,x,density
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9042409185409546,1.7092915364160894e-07
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.905888732899613,5.047143385601729e-07
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9075365472582715,1.409192556392155e-06
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.90918436161693,3.7212823889636003e-06
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.910832175975589,9.296687066877395e-06
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9124799903342473,2.1978966884979055e-05
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9141278046929058,4.9189855092717336e-05
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9157756190515642,0.00010425460877740527
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9174234334102227,0.0002093370237836242
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.919071247768881,0.00039840582203739557
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9207190621275396,0.0007190367693800004
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9223668764861985,0.0012312891920713217
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.924014690844857,0.002001771118898429
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9256625052035155,0.00309176684692254
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.927310319562174,0.00454018367661455
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9289581339208324,0.006344820648175151
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.930605948279491,0.008448166413771207
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9322537626381493,0.01073523653527631
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.933901576996808,0.013049607652497299
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9355493913554667,0.01522937301654071
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.937197205714125,0.017158154922832226
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9388450200727836,0.018819786776899414
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.940492834431442,0.0203415973392408
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9421406487901005,0.022012507374383004
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.943788463148759,0.0242686726065698
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.945436277507418,0.027649138391303087
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9470840918660763,0.03273312999052691
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.948731906224735,0.040075267251131856
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9503797205833933,0.05015308114772537
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9520275349420517,0.0633338081458419
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.95367534930071,0.07985858478056475
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.955323163659369,0.09983687771408757
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9569709780180276,0.12324534586295574
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.958618792376686,0.14993224568380467
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9602666067353445,0.17963575460285752
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.961914421094003,0.21202580612420568
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9635622354526614,0.2467710679085381
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.96521004981132,0.2836188177331093
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9668578641699788,0.3224644664730541
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9685056785286372,0.3633882969045602
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.9701534928872957,0.40665187367499
"n=1000, N=n^(3/2)",Reference (flow convention),A,2.971801307245954,0.4526676459053691
