cell,method,param,x,density
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9042640016226344,4.322241919017868e-05
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.90557219700227,8.549562622359885e-05
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.906880392381905,0.00016274126087338818
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9081885877615403,0.00029821733756393187
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9094967831411758,0.0005262904339583585
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9108049785208108,0.0008948843756535795
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.912113173900446,0.0014667881884803259
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.913421369280081,0.0023187844667616935
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9147295646597167,0.0035376043222230574
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.916037760039352,0.00521214567719622
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.917345955418987,0.007422261884323934
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9186541507986226,0.01022562897703018
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.919962346178258,0.013645423567888613
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.921270541557893,0.01766232635670561
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9225787369375285,0.022214240001423618
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9238869323171635,0.027205823690028726
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.925195127696799,0.03252767268172877
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9265033230764343,0.03808237112988438
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9278115184560694,0.043812699266462855
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.929119713835705,0.0497268722141093
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9304279092153402,0.055917144534626935
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9317361045949752,0.0625708692059698
