seed,x_obs_current,x_obs_current_gamma0,x_obs_current_gamma1,x_obs_current_gamma2,stored_reference_mean,stored_reference_mean_t1,stored_reference_mean_t2,current_reference_mean,current_reference_mean_t1,current_reference_mean_t2,flow_mean,flow_mean_t1,flow_mean_t2,reference_mean_shift,reference_mean_shift_t1,reference_mean_shift_t2,reference_mean_shift_l2,stored_flow_kl,current_flow_kl,current_minus_stored_flow_kl,flow_posterior_sample_count,stored_reference_sample_count,current_reference_sample_count,flow_dir,current_reference_path,reference_reused,nuts_num_warmup,nuts_num_samples,nuts_thinning,nuts_num_chains,status
0,"[1.4012566804885864, 0.7640022039413452, 0.2409301996231079]",1.4012566804885864,0.7640022039413452,0.2409301996231079,"[0.6032537074327469, 0.24320618431568145]",0.6032537074327469,0.24320618431568145,"[0.6434824233531952, 0.2456083085656166]",0.6434824233531952,0.2456083085656166,"[0.6437198256492614, 0.24753411654233934]",0.6437198256492614,0.24753411654233934,"[0.0402287159204483, 0.0024021242499351614]",0.0402287159204483,0.0024021242499351614,0.04030036954570339,1.1303510701843373,0.015173003682938689,-1.1151780665013986,10000,10000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_0,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_0/nuts_current_reference.pkl,False,2000,10000,10,1,complete
1,"[1.4467124938964844, 0.730927050113678, 0.14164981245994568]",1.4467124938964844,0.730927050113678,0.14164981245994568,"[0.6404237508773803, 0.138416058331728]",0.6404237508773803,0.138416058331728,"[0.6331561223268509, 0.13418306016921996]",0.6331561223268509,0.13418306016921996,"[0.6315597854852676, 0.14053770288825035]",0.6315597854852676,0.14053770288825035,"[-0.007267628550529426, -0.004232998162508023]",-0.007267628550529426,-0.004232998162508023,0.008410511173065923,-0.02718007125962771,-0.015530790868711675,0.011649280390916034,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_1,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_1/nuts_current_reference.pkl,False,2000,10000,10,1,complete
2,"[1.4822611808776855, 0.7974598407745361, 0.25786182284355164]",1.4822611808776855,0.7974598407745361,0.25786182284355164,"[0.631385523200035, 0.2611207420229912]",0.631385523200035,0.2611207420229912,"[0.6279972268342972, 0.2607362426996231]",0.6279972268342972,0.2607362426996231,"[0.6331928994059562, 0.2677806096076965]",0.6331928994059562,0.2677806096076965,"[-0.0033882963657378973, -0.00038449932336809267]",-0.0033882963657378973,-0.00038449932336809267,0.003410042813769816,0.011469146514593347,0.019683449568735467,0.00821430305414212,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_2,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_2/nuts_current_reference.pkl,False,2000,10000,10,1,complete
4,"[1.2434041500091553, 0.5927354097366333, 0.10911452770233154]",1.2434041500091553,0.5927354097366333,0.10911452770233154,"[0.5758677180409432, 0.1266495966911316]",0.5758677180409432,0.1266495966911316,"[0.5727983735203743, 0.1247571747660637]",0.5727983735203743,0.1247571747660637,"[0.575023379355669, 0.12692817720770835]",0.575023379355669,0.12692817720770835,"[-0.0030693445205688397, -0.0018924219250679025]",-0.0030693445205688397,-0.0018924219250679025,0.0036058475464755394,0.05098448709847288,-0.028368288446732892,-0.07935277554520577,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_4,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_4/nuts_current_reference.pkl,False,2000,10000,10,1,complete
5,"[1.4308894872665405, 0.7564845085144043, 0.2598861753940582]",1.4308894872665405,0.7564845085144043,0.2598861753940582,"[0.6017988766431809, 0.26327336055040357]",0.6017988766431809,0.26327336055040357,"[0.6010546550154686, 0.2627916385293007]",0.6010546550154686,0.2627916385293007,"[0.5970342348814011, 0.2576576378345489]",0.5970342348814011,0.2576576378345489,"[-0.0007442216277122604, -0.00048172202110285944]",-0.0007442216277122604,-0.00048172202110285944,0.0008865223836825048,-0.025059888604882254,-0.006643308602922504,0.01841658000195975,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_5,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_5/nuts_current_reference.pkl,False,2000,10000,10,1,complete
6,"[1.3964987993240356, 0.6887305974960327, 0.1493743360042572]",1.3964987993240356,0.6887305974960327,0.1493743360042572,"[0.5942917218208313, 0.14617153307795525]",0.5942917218208313,0.14617153307795525,"[0.5917747410297394, 0.14571998177170753]",0.5917747410297394,0.14571998177170753,"[0.5931070691347122, 0.14724824169278145]",0.5931070691347122,0.14724824169278145,"[-0.0025169807910919717, -0.0004515513062477161]",-0.0025169807910919717,-0.0004515513062477161,0.002557164618263749,0.0365756959099459,0.008710645175441512,-0.02786505073450439,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_6,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_6/nuts_current_reference.pkl,False,2000,10000,10,1,complete
7,"[1.3846756219863892, 0.7104088068008423, 0.18445995450019836]",1.3846756219863892,0.7104088068008423,0.18445995450019836,"[0.6106747248768807, 0.18789400827884675]",0.6106747248768807,0.18789400827884675,"[0.6094419593811036, 0.18838064638972282]",0.6094419593811036,0.18838064638972282,"[0.6037551121711731, 0.19249874699115754]",0.6037551121711731,0.19249874699115754,"[-0.0012327654957771106, 0.0004866381108760698]",-0.0012327654957771106,0.0004866381108760698,0.001325340491547593,0.012148923890140346,0.02980328050209069,0.017654356611950344,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_7,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_7/nuts_current_reference.pkl,False,2000,10000,10,1,complete
8,"[1.3485640287399292, 0.6528648734092712, 0.16558067500591278]",1.3485640287399292,0.6528648734092712,0.16558067500591278,"[0.5688875580430031, 0.16797691810131074]",0.5688875580430031,0.16797691810131074,"[0.5578383180737495, 0.16594664475917817]",0.5578383180737495,0.16594664475917817,"[0.5646944825053215, 0.16411905136704444]",0.5646944825053215,0.16411905136704444,"[-0.011049239969253555, -0.0020302733421325714]",-0.011049239969253555,-0.0020302733421325714,0.01123422065574308,0.06948875465775041,0.005422570396772075,-0.06406618426097833,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_8,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_8/nuts_current_reference.pkl,False,2000,10000,10,1,complete
9,"[1.235501766204834, 0.597470760345459, 0.1225651428103447]",1.235501766204834,0.597470760345459,0.1225651428103447,"[0.5783531470894814, 0.14118683114647865]",0.5783531470894814,0.14118683114647865,"[0.5765446939468384, 0.1396661809206009]",0.5765446939468384,0.1396661809206009,"[0.575036705493927, 0.13052894631028175]",0.575036705493927,0.13052894631028175,"[-0.0018084531426429962, -0.0015206502258777455]",-0.0018084531426429962,-0.0015206502258777455,0.002362811858485006,0.047332860417400355,0.03519754474688819,-0.012135315670512167,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_9,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_9/nuts_current_reference.pkl,False,2000,10000,10,1,complete
10,"[1.338727593421936, 0.650992214679718, 0.1120595932006836]",1.338727593421936,0.650992214679718,0.1120595932006836,"[0.6010718737244606, 0.1196127610206604]",0.6010718737244606,0.1196127610206604,"[0.6004519969344139, 0.1185360970377922]",0.6004519969344139,0.1185360970377922,"[0.5958138370215893, 0.11963826516270637]",0.5958138370215893,0.11963826516270637,"[-0.0006198767900467139, -0.001076663982868195]",-0.0006198767900467139,-0.001076663982868195,0.0012423576646216753,0.047328889143599936,-0.0037462153944467502,-0.05107510453804669,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_10,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_10/nuts_current_reference.pkl,False,2000,10000,10,1,complete
11,"[1.4287902116775513, 0.7250797152519226, 0.16435667872428894]",1.4287902116775513,0.7250797152519226,0.16435667872428894,"[0.6185413779616356, 0.15982215076684952]",0.6185413779616356,0.15982215076684952,"[0.6169034746289254, 0.16076103496551514]",0.6169034746289254,0.16076103496551514,"[0.6187553533911705, 0.16594233670830727]",0.6187553533911705,0.16594233670830727,"[-0.0016379033327101888, 0.0009388841986656127]",-0.0016379033327101888,0.0009388841986656127,0.001887917070691166,-0.024951906938826256,0.0025730741834431026,0.02752498112226936,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_11,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_11/nuts_current_reference.pkl,False,2000,10000,10,1,complete
12,"[1.466975212097168, 0.7905851006507874, 0.275291383266449]",1.466975212097168,0.7905851006507874,0.275291383266449,"[0.6187712780237198, 0.27939469277858736]",0.6187712780237198,0.27939469277858736,"[0.6182573291182518, 0.27923519529104235]",0.6182573291182518,0.27923519529104235,"[0.6204509134888649, 0.2777064357995987]",0.6204509134888649,0.2777064357995987,"[-0.0005139489054679647, -0.0001594974875450128]",-0.0005139489054679647,-0.0001594974875450128,0.0005381290978611827,-0.05131641472038209,-0.013956441306431477,0.037359973413950615,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_12,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_12/nuts_current_reference.pkl,False,2000,10000,10,1,complete
13,"[1.3334685564041138, 0.6446388363838196, 0.17844413220882416]",1.3334685564041138,0.6446388363838196,0.17844413220882416,"[0.5471639609932899, 0.1793710613846779]",0.5471639609932899,0.1793710613846779,"[0.547693623816967, 0.180296711486578]",0.547693623816967,0.180296711486578,"[0.5453431218862533, 0.1816434425711632]",0.5453431218862533,0.1816434425711632,"[0.0005296628236770573, 0.0009256501019000996]",0.0005296628236770573,0.0009256501019000996,0.0010664758871785232,-0.030426926788564738,0.0342068655477521,0.06463379233631683,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_13,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_13/nuts_current_reference.pkl,False,2000,10000,10,1,complete
14,"[1.4846233129501343, 0.7792487740516663, 0.18637700378894806]",1.4846233129501343,0.7792487740516663,0.18637700378894806,"[0.6495791879296303, 0.18106479233503342]",0.6495791879296303,0.18106479233503342,"[0.6474754683494568, 0.1801311312317848]",0.6474754683494568,0.1801311312317848,"[0.6520584729909897, 0.17648394188284874]",0.6520584729909897,0.17648394188284874,"[-0.0021037195801735242, -0.0009336611032486064]",-0.0021037195801735242,-0.0009336611032486064,0.0023015992543718106,-0.04100169697678614,-0.0013442488984951595,0.03965744807829098,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_14,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_14/nuts_current_reference.pkl,False,2000,10000,10,1,complete
16,"[1.2908145189285278, 0.5908624529838562, 0.18969684839248657]",1.2908145189285278,0.5908624529838562,0.18969684839248657,"[0.4939261041879654, 0.19179777187108993]",0.4939261041879654,0.19179777187108993,"[0.4943685959219933, 0.192279541349411]",0.4943685959219933,0.192279541349411,"[0.48858353853225706, 0.19144708317518233]",0.48858353853225706,0.19144708317518233,"[0.00044249173402788333, 0.0004817694783210702]",0.00044249173402788333,0.0004817694783210702,0.0006541412423359034,0.007170204178934256,0.034537146918439676,0.02736694273950542,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_16,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_16/nuts_current_reference.pkl,False,2000,10000,10,1,complete
18,"[1.4790804386138916, 0.7606962323188782, 0.18118883669376373]",1.4790804386138916,0.7606962323188782,0.18118883669376373,"[0.6260151818990708, 0.17179809221625328]",0.6260151818990708,0.17179809221625328,"[0.6253825082659722, 0.17172947697639465]",0.6253825082659722,0.17172947697639465,"[0.6262247059941292, 0.17246773889660835]",0.6262247059941292,0.17246773889660835,"[-0.0006326736330986016, -6.861523985862705e-05]",-0.0006326736330986016,-6.861523985862705e-05,0.0006363835142106062,0.12227006670284346,0.00973306172501176,-0.1125370049778317,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_18,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_18/nuts_current_reference.pkl,False,2000,10000,10,1,complete
19,"[1.4435652494430542, 0.7189344763755798, 0.15150894224643707]",1.4435652494430542,0.7189344763755798,0.15150894224643707,"[0.612549388885498, 0.14495553320646287]",0.612549388885498,0.14495553320646287,"[0.6069743940591812, 0.14125511001348495]",0.6069743940591812,0.14125511001348495,"[0.6050830086469651, 0.13898305839300157]",0.6050830086469651,0.13898305839300157,"[-0.005574994826316848, -0.0037004231929779197]",-0.005574994826316848,-0.0037004231929779197,0.006691315201108713,0.05725088563000248,0.0222116124096563,-0.03503927322034618,2000,2000,10000,res/ma2_b0/npe_n_obs_1000_n_sims_1000000_seed_19,res/ma2_b0/current_reference_refresh_n_obs_1000_seed_19/nuts_current_reference.pkl,False,2000,10000,10,1,complete
