method,n_obs,n_sims,kl_median,n_seeds,current_reference_kl_median,current_reference_seed_count
flow_npe,100,100,0.8071578322379367,101,,0
flow_npe,100,460,0.618546055956011,101,,0
flow_npe,100,1000,0.5303915765903734,101,,0
flow_npe,100,10000,0.4279467888033304,99,,0
flow_npe,500,500,0.7130331858812541,101,,0
flow_npe,500,3107,0.5211471335684331,101,,0
flow_npe,500,11180,0.44018348812268077,101,,0
flow_npe,500,250000,0.5424825073609234,96,,0
flow_npe,1000,1000,0.5742083945684987,101,,0
flow_npe,1000,6907,0.4086996307207559,101,,0
flow_npe,1000,31622,0.46929064590117664,100,,0
flow_npe,1000,1000000,0.6669671108310664,80,0.01872387783619045,80
flow_npe,5000,5000,0.48259547669382735,101,,0
flow_npe,5000,42585,0.4433500749794405,99,,0
flow_npe,5000,353553,0.5929627997677117,95,,0
flow_npe,5000,25000000,,0,,0
gaussian_npe,100,100,0.7707845966261024,101,,0
gaussian_npe,100,460,0.45970379569199693,101,,0
gaussian_npe,100,1000,0.39222606118888964,101,,0
gaussian_npe,100,10000,0.3182937108365331,99,,0
gaussian_npe,500,500,0.3588196235103112,101,,0
gaussian_npe,500,3107,0.2382605049813268,101,,0
gaussian_npe,500,11180,0.14659646356426606,101,,0
gaussian_npe,500,250000,0.06790959596555787,96,,0
gaussian_npe,1000,1000,0.3241128950620442,101,,0
gaussian_npe,1000,6907,0.18068999133407948,101,,0
gaussian_npe,1000,31622,0.0961708092819629,100,,0
gaussian_npe,1000,1000000,0.04035415429629073,80,0.0741187888269372,5
gaussian_npe,5000,5000,0.22591299217033178,101,,0
gaussian_npe,5000,42585,0.11107079821707236,99,,0
gaussian_npe,5000,353553,0.03432374503478802,95,,0
gaussian_npe,5000,25000000,,0,,0
