method,n_obs,n_sims,budget_label,seed,delta0,pbs_array_index,pbs_job_id,pbs_exit_status,pbs_walltime,pbs_reason,pbs_stdout,pbs_stderr,output_dir,delta_dir,complete,status,missing_files,partial_files_present,partial_files,kl,mmd,kl_finite,mmd_finite,metrics_status,reference_shape,posterior_shape,shape_ok,metrics_json,kl_txt,mmd_txt,reference_samples_npz,posterior_samples_npz
flow_npe,100,100,N=n,0,1.0,1,,,,,,,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1,True,complete,,True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/config.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1/flow_npe_posterior_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1/kl.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1/metrics.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1/mmd.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1/reference_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/standardisation.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/training_metadata.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/validation_curve.csv,0.7854913251625911,0.09192454814910889,True,True,ok,"(10000, 2)","(10000, 2)",True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1/metrics.json,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1/kl.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1/mmd.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1/reference_samples.npz,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_0/delta_0_1/flow_npe_posterior_samples.npz
flow_npe,100,100,N=n,1,1.0,2,,,,,,,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1,True,complete,,True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/config.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1/flow_npe_posterior_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1/kl.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1/metrics.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1/mmd.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1/reference_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/standardisation.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/training_metadata.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/validation_curve.csv,1.7252647120016702,0.22128283977508545,True,True,ok,"(10000, 2)","(10000, 2)",True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1/metrics.json,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1/kl.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1/mmd.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1/reference_samples.npz,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_1/delta_0_1/flow_npe_posterior_samples.npz
flow_npe,100,100,N=n,2,1.0,3,,,,,,,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1,True,complete,,True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/config.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1/flow_npe_posterior_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1/kl.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1/metrics.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1/mmd.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1/reference_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/standardisation.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/training_metadata.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/validation_curve.csv,1.1066110261789042,0.11854708194732666,True,True,ok,"(10000, 2)","(10000, 2)",True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1/metrics.json,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1/kl.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1/mmd.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1/reference_samples.npz,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_2/delta_0_1/flow_npe_posterior_samples.npz
flow_npe,100,100,N=n,3,1.0,4,,,,,,,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1,True,complete,,True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/config.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1/flow_npe_posterior_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1/kl.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1/metrics.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1/mmd.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1/reference_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/standardisation.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/training_metadata.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/validation_curve.csv,0.5795897228122467,0.06057918071746826,True,True,ok,"(10000, 2)","(10000, 2)",True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1/metrics.json,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1/kl.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1/mmd.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1/reference_samples.npz,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_3/delta_0_1/flow_npe_posterior_samples.npz
flow_npe,100,100,N=n,4,1.0,5,,,,,,,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1,True,complete,,True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/config.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1/flow_npe_posterior_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1/kl.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1/metrics.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1/mmd.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1/reference_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/standardisation.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/training_metadata.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/validation_curve.csv,0.6592143756780329,0.06235694885253906,True,True,ok,"(10000, 2)","(10000, 2)",True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1/metrics.json,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1/kl.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1/mmd.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1/reference_samples.npz,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_4/delta_0_1/flow_npe_posterior_samples.npz
flow_npe,100,100,N=n,5,1.0,6,,,,,,,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1,True,complete,,True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/config.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1/flow_npe_posterior_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1/kl.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1/metrics.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1/mmd.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1/reference_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/standardisation.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/training_metadata.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/validation_curve.csv,0.9473189600685706,0.09910476207733154,True,True,ok,"(10000, 2)","(10000, 2)",True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1/metrics.json,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1/kl.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1/mmd.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1/reference_samples.npz,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_5/delta_0_1/flow_npe_posterior_samples.npz
flow_npe,100,100,N=n,6,1.0,7,,,,,,,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1,True,complete,,True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/config.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1/flow_npe_posterior_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1/kl.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1/metrics.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1/mmd.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1/reference_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/standardisation.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/training_metadata.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/validation_curve.csv,0.7850728658594037,0.10631024837493896,True,True,ok,"(10000, 2)","(10000, 2)",True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1/metrics.json,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1/kl.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1/mmd.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1/reference_samples.npz,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_6/delta_0_1/flow_npe_posterior_samples.npz
flow_npe,100,100,N=n,7,1.0,8,,,,,,,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1,True,complete,,True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/config.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1/flow_npe_posterior_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1/kl.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1/metrics.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1/mmd.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1/reference_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/standardisation.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/training_metadata.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/validation_curve.csv,0.6576858830886798,0.052579402923583984,True,True,ok,"(10000, 2)","(10000, 2)",True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1/metrics.json,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1/kl.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1/mmd.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1/reference_samples.npz,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_7/delta_0_1/flow_npe_posterior_samples.npz
flow_npe,100,100,N=n,8,1.0,9,,,,,,,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1,True,complete,,True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/config.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1/flow_npe_posterior_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1/kl.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1/metrics.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1/mmd.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1/reference_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/standardisation.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/training_metadata.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/validation_curve.csv,0.5101585152354559,0.020014166831970215,True,True,ok,"(10000, 2)","(10000, 2)",True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1/metrics.json,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1/kl.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1/mmd.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1/reference_samples.npz,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_8/delta_0_1/flow_npe_posterior_samples.npz
flow_npe,100,100,N=n,9,1.0,10,,,,,,,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1,True,complete,,True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/config.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1/flow_npe_posterior_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1/kl.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1/metrics.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1/mmd.txt;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1/reference_samples.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/standardisation.npz;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/training_metadata.json;res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/validation_curve.csv,0.7211445379751599,0.08517146110534668,True,True,ok,"(10000, 2)","(10000, 2)",True,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1/metrics.json,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1/kl.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1/mmd.txt,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1/reference_samples.npz,res/ma2_b0_delta1_refresh/flow_npe_compat_n_obs_100_n_sims_100_seed_9/delta_0_1/flow_npe_posterior_samples.npz
