n_obs,n_sims,flavor,kl_median,kl_q25,kl_q75,n_seeds,oracle_median
1000,1000,flow,8.879188793410842,8.293479588076783,9.812772546845434,101,0.04873363132645206
1000,6907,flow,5.646776586593709,5.087009642788338,6.19247249250457,101,0.04873363132645206
1000,31622,flow,3.627918438329654,3.3629308002186495,4.146197458526704,101,0.04873363132645206
1000,1000000,flow,1.8211863113345554,1.6117666812612266,2.385699575952811,101,0.04873363132645206
1000,1000,gaussian,9.04752765659914,8.460498068037367,9.483695820297442,101,0.04873363132645206
1000,6907,gaussian,5.8311338685300464,5.417955253482062,6.49717588365822,101,0.04873363132645206
1000,31622,gaussian,3.936997572649001,3.6533611006481657,4.231682296371486,101,0.04873363132645206
1000,1000000,gaussian,2.4505247839272903,2.079213414368661,2.891684132712361,101,0.04873363132645206
5000,5000,flow,6.8851100669130405,6.247169366187836,7.4253084867040835,101,0.005497588759254047
5000,42585,flow,4.074651470507346,3.758337682774617,4.457557749753292,101,0.005497588759254047
5000,353553,flow,2.5601309279795132,2.2979102712702124,2.947548769106441,101,0.005497588759254047
5000,25000000,flow,1.6667751813319662,1.4722720327941055,1.8492901226548029,65,0.005497588759254047
5000,5000,gaussian,7.745338137881621,7.145400110906952,8.229488367570516,101,0.005497588759254047
5000,42585,gaussian,4.403896234128931,4.1408855810510445,4.7941144501484,101,0.005497588759254047
5000,353553,gaussian,2.951798095172825,2.727654841697027,3.4986925686381767,101,0.005497588759254047
5000,25000000,gaussian,1.3404130351570795,1.0144209266243815,2.2173523889222264,101,0.005497588759254047
10000,10000,flow,6.342233281150057,5.8981840364261355,6.900039576585223,101,-0.0036983273085850234
10000,92103,flow,3.672045338889254,3.3193652801664366,4.22848553788971,101,-0.0036983273085850234
10000,1000000,flow,2.556864426900669,2.272515090737807,3.170379109391235,101,-0.0036983273085850234
10000,10000,gaussian,6.658120695439203,6.190084387731671,7.21993566705522,101,-0.0036983273085850234
10000,92103,gaussian,4.216870763697565,3.8584913903271154,4.629985927940682,101,-0.0036983273085850234
10000,1000000,gaussian,2.8800364173241104,2.6960527111900547,3.3447482197904037,101,-0.0036983273085850234
20000,20000,flow,5.86627466767336,5.532368443875741,6.3269732058027435,101,-0.0030145703834485007
20000,198069,flow,3.5549725172206017,3.2035771074116464,4.004418513032966,101,-0.0030145703834485007
20000,2828427,flow,2.820402359960944,2.522618041390018,3.3207005628967554,47,-0.0030145703834485007
20000,20000,gaussian,6.134645481605245,5.80328723825726,6.57468905495515,101,-0.0030145703834485007
20000,198069,gaussian,4.09519755803527,3.6404983795970765,4.674230075372969,101,-0.0030145703834485007
20000,2828427,gaussian,2.9567649990232456,2.645244732187705,3.406246414614253,101,-0.0030145703834485007
