n_obs,seed,cache_path,posterior_samples,fit_size,metric_samples,k_theta_star
500,0,res/gnk/nuts_cache_v2_n_obs_500_seed_0.pkl,10000,5000,2000,0.09423576396543436
500,1,res/gnk/nuts_cache_v2_n_obs_500_seed_1.pkl,10000,5000,2000,0.13019183450296815
500,2,res/gnk/nuts_cache_v2_n_obs_500_seed_2.pkl,10000,5000,2000,0.03484973391936265
500,3,res/gnk/nuts_cache_v2_n_obs_500_seed_3.pkl,10000,5000,2000,0.12579901994039117
500,4,res/gnk/nuts_cache_v2_n_obs_500_seed_4.pkl,10000,5000,2000,0.07628129247597396
500,5,res/gnk/nuts_cache_v2_n_obs_500_seed_5.pkl,10000,5000,2000,0.2071655801240745
500,6,res/gnk/nuts_cache_v2_n_obs_500_seed_6.pkl,10000,5000,2000,0.1577665415178265
500,7,res/gnk/nuts_cache_v2_n_obs_500_seed_7.pkl,10000,5000,2000,0.06655840169345494
500,8,res/gnk/nuts_cache_v2_n_obs_500_seed_8.pkl,10000,5000,2000,0.05831852749860304
500,9,res/gnk/nuts_cache_v2_n_obs_500_seed_9.pkl,10000,5000,2000,0.08261260524145006
500,10,res/gnk/nuts_cache_v2_n_obs_500_seed_10.pkl,10000,5000,2000,0.19742537105429916
500,11,res/gnk/nuts_cache_v2_n_obs_500_seed_11.pkl,10000,5000,2000,0.16725261593260765
500,12,res/gnk/nuts_cache_v2_n_obs_500_seed_12.pkl,10000,5000,2000,0.14340613488266998
500,13,res/gnk/nuts_cache_v2_n_obs_500_seed_13.pkl,10000,5000,2000,0.0888016906094094
500,14,res/gnk/nuts_cache_v2_n_obs_500_seed_14.pkl,10000,5000,2000,0.0913725991485757
500,15,res/gnk/nuts_cache_v2_n_obs_500_seed_15.pkl,10000,5000,2000,0.07493258238652718
500,16,res/gnk/nuts_cache_v2_n_obs_500_seed_16.pkl,10000,5000,2000,0.10901296385011028
500,17,res/gnk/nuts_cache_v2_n_obs_500_seed_17.pkl,10000,5000,2000,0.08742791980460222
500,18,res/gnk/nuts_cache_v2_n_obs_500_seed_18.pkl,10000,5000,2000,0.16085795909553427
500,19,res/gnk/nuts_cache_v2_n_obs_500_seed_19.pkl,10000,5000,2000,0.1530907791288475
500,20,res/gnk/nuts_cache_v2_n_obs_500_seed_20.pkl,10000,5000,2000,0.15062322545651838
500,21,res/gnk/nuts_cache_v2_n_obs_500_seed_21.pkl,10000,5000,2000,0.09441657608723401
500,22,res/gnk/nuts_cache_v2_n_obs_500_seed_22.pkl,10000,5000,2000,0.1417258270810166
500,23,res/gnk/nuts_cache_v2_n_obs_500_seed_23.pkl,10000,5000,2000,0.13860059871758698
500,24,res/gnk/nuts_cache_v2_n_obs_500_seed_24.pkl,10000,5000,2000,0.03956288817063325
500,25,res/gnk/nuts_cache_v2_n_obs_500_seed_25.pkl,10000,5000,2000,0.2119543565661908
500,26,res/gnk/nuts_cache_v2_n_obs_500_seed_26.pkl,10000,5000,2000,0.049002179386341854
500,27,res/gnk/nuts_cache_v2_n_obs_500_seed_27.pkl,10000,5000,2000,0.10579738696791864
500,28,res/gnk/nuts_cache_v2_n_obs_500_seed_28.pkl,10000,5000,2000,0.18023239192678592
500,29,res/gnk/nuts_cache_v2_n_obs_500_seed_29.pkl,10000,5000,2000,0.15250504422826563
500,30,res/gnk/nuts_cache_v2_n_obs_500_seed_30.pkl,10000,5000,2000,0.11831705794049034
500,31,res/gnk/nuts_cache_v2_n_obs_500_seed_31.pkl,10000,5000,2000,0.12312215806629447
500,32,res/gnk/nuts_cache_v2_n_obs_500_seed_32.pkl,10000,5000,2000,0.10020618694882505
500,33,res/gnk/nuts_cache_v2_n_obs_500_seed_33.pkl,10000,5000,2000,0.1141934026629566
