n,N,N_label,standard_paper_grid,seed_count,excluded_from_complete_delta_summary,exclusion_reason,scaled_budget_median,Delta_N_u_total_count,Delta_N_u_total_mean,Delta_N_u_total_sd,Delta_N_u_total_min,Delta_N_u_total_max,Delta_N_u_total_q05,Delta_N_u_total_q25,Delta_N_u_total_median,Delta_N_u_total_q75,Delta_N_u_total_q95,Delta_N_u_mean_term_count,Delta_N_u_mean_term_mean,Delta_N_u_mean_term_sd,Delta_N_u_mean_term_min,Delta_N_u_mean_term_max,Delta_N_u_mean_term_q05,Delta_N_u_mean_term_q25,Delta_N_u_mean_term_median,Delta_N_u_mean_term_q75,Delta_N_u_mean_term_q95,Delta_N_u_cov_term_count,Delta_N_u_cov_term_mean,Delta_N_u_cov_term_sd,Delta_N_u_cov_term_min,Delta_N_u_cov_term_max,Delta_N_u_cov_term_q05,Delta_N_u_cov_term_q25,Delta_N_u_cov_term_median,Delta_N_u_cov_term_q75,Delta_N_u_cov_term_q95,self_consistency_kl_u_count,self_consistency_kl_u_mean,self_consistency_kl_u_sd,self_consistency_kl_u_min,self_consistency_kl_u_max,self_consistency_kl_u_q05,self_consistency_kl_u_q25,self_consistency_kl_u_median,self_consistency_kl_u_q75,self_consistency_kl_u_q95
100,100,N=n,1,101,0,,0.0082644628099173,101,8.431230473005996,1.7526143865087667,5.09156544716089,12.022405820381035,5.389050714764746,6.833369073526552,8.613364652943659,9.928480215154758,10.756140541451582,101,2.9096817760946494,1.2041782094315503,0.4641325842987591,6.541914555840978,1.1295904790904263,2.1381031687066208,2.720440496392896,3.621305789885751,5.129905106450568,101,5.521548696911348,1.0553285476632441,3.3438250076424203,7.233004163525171,3.743983479267904,4.704492093182025,5.7076552975556485,6.343434932075621,7.056888531295407,101,0.002142106567603599,0.049449919236587696,-0.1432415454364203,0.1309821857400482,-0.0775967705346483,-0.0257856557626873,0.000441578189496,0.0318533817688614,0.0788411583813114
100,460,N=n log(n),1,101,0,,0.0380165289256198,101,6.293230168655563,1.7868084049831143,3.0685983737069025,10.324622492705908,3.938233689852426,5.034079971856482,6.083045284959952,7.162954213239545,9.812661853644826,101,1.9206189401741272,0.8482195373435689,0.570472699212021,4.462891888870459,0.7327341950290349,1.3326850926509826,1.7525486894590196,2.447333358074982,3.420289411601072,101,4.3726112284814365,1.2324000914354607,1.4743402069973524,7.253737080569522,2.475550126634459,3.532129248429218,4.161702763073445,5.089650397713851,6.586346147361606,101,0.005308343889658034,0.04931142884212408,-0.1264423220103241,0.1347706218969005,-0.0688414081291133,-0.031254840426534,0.0051000717126812,0.0372600023463761,0.0889304237353636
100,1000,N=n^(3/2),1,101,0,,0.0826446280991735,101,5.36738261436388,1.3173439567076455,2.815085410559701,10.20849594111576,3.4632289568022516,4.571446318526204,5.314056241932199,5.938642662177415,7.745357259866659,101,1.7093079323248435,0.6661844400014585,0.6273605856865332,3.7009014608813446,0.8245503792631116,1.1721464251594194,1.65908919708416,2.076427840320514,2.85378545110974,101,3.658074682039036,0.9688873984466541,1.730466920197979,7.004566534597992,2.2484420375177017,3.185997332807222,3.665981802745544,3.98370004611117,5.192052044412861,101,-0.0009987195246075405,0.04728877615507572,-0.1083540425435309,0.1248866211325108,-0.0796802246978782,-0.0302681698198774,-0.0020214399090566,0.0299507483453436,0.0716880117015193
100,10000,N=n^2,1,101,0,,0.8264462809917356,101,3.2399096264055145,0.9328879296155239,1.2134935246628085,5.954716573352502,1.765194989326986,2.601297184505727,3.2855516268992035,3.820814428701005,4.805712247515421,101,1.2169539257488677,0.6448049794560075,0.3345943511049249,3.122959403610144,0.4226565500140604,0.776200869584455,1.0822658442251205,1.5112162218543177,2.517894056766263,101,2.0229557006566457,0.5692889193330484,0.5938585008227726,2.957558961717025,0.9496138781117534,1.6709495476103662,2.107227540039597,2.397703822764478,2.8103293372222833,101,0.0006437119197348395,0.05115816155135721,-0.0985012420841979,0.1297307153936228,-0.0777625626884695,-0.0355571161683455,0.0013040482725361,0.0371230597838663,0.0750933150167188
500,500,N=n,1,101,0,,0.0082644628099173,101,8.40509771230804,1.148683491550942,6.913110722458907,12.607252223075324,7.211688698807532,7.707956605507605,8.189971014612365,8.700351799067215,11.376028615082118,101,1.561098552556115,0.746411056355947,0.5703509317558114,4.064224769388984,0.7038726814630505,1.0184272743720415,1.342378953558133,1.908295371946314,3.1258752009229336,101,6.843999159751923,1.024336753061556,5.29854015286722,10.421632513493366,5.765349065931537,6.1875518874578255,6.576509668789892,7.2002016421494375,8.930496597504574,101,0.002927496442277804,0.057807878929368194,-0.1466331610873027,0.143701191037667,-0.0806720941300241,-0.0361646102549697,0.0016533884075987,0.0336576139415484,0.1074172356584725
500,3107,N=n log(n),1,101,0,,0.0513553719008264,101,6.9649673801915615,0.6361079700486832,5.655361220956256,8.748537440175296,6.0513134367370895,6.531732452579825,6.860108672331372,7.317322458468134,8.200103089288268,101,1.677226821617392,0.6362561420733719,0.6485440273762628,4.001443097405025,0.9070312723005728,1.211974478047926,1.5696116714889763,2.0312845824565486,2.7998801881494804,101,5.2877405585741695,0.440695718048692,4.229887959680987,6.458836016131037,4.505068589156391,4.991931058715706,5.344438376591471,5.5600678990304075,5.970564147068,101,-0.0015432733005084239,0.06332999534586704,-0.1604505249704328,0.1779540564335058,-0.100589318207409,-0.0445955834760686,0.0058514758834954,0.0428514883937913,0.0874925206235275
500,11180,N=n^(3/2),1,101,0,,0.184793388429752,101,4.508534851002018,0.5365100407819318,3.499801532369944,6.107500212625986,3.8299040489410623,4.124324836230806,4.4411823394520615,4.77936332496311,5.545330265506394,101,0.7849489332790941,0.5022105569411598,0.0423808692609348,2.850552695563882,0.2128813693905204,0.4656747371892181,0.6688073938571162,0.9732868487886012,1.6286366901208875,101,3.723585917722923,0.32471739050658804,2.79651431462453,4.8901251921379005,3.133646187210509,3.5703317061184645,3.750724448360628,3.86413858094091,4.163274425377759,101,0.0027347301043626274,0.05246849909848171,-0.1239240044560545,0.1957058657979818,-0.075116398710618,-0.0321407963928793,0.0024801269229263,0.035173835528785,0.0772623021888297
500,250000,N=n^2,1,101,0,,4.132231404958677,101,2.7897688840456585,0.6290732502682406,1.8311267131790143,4.8166947421778445,2.110365797191883,2.306893424424442,2.634332000648568,3.163060120493587,3.913570410936087,101,0.6060502811470186,0.5005184596638854,0.0209360906281995,2.5176216376621277,0.0777135463143913,0.2160054014130714,0.4372945279825206,0.87450437149059,1.5880163562740148,101,2.18371860289864,0.45175222807228377,1.3886747225134854,4.2010768187607,1.599582361678202,1.8875381372531168,2.103114752367235,2.372921326528328,3.02456030046542,101,-0.0037037623939033047,0.05467307841256261,-0.1511314758616626,0.1468064722781294,-0.1023237127961559,-0.0422377018489142,-0.0030896612451911,0.0363955898418909,0.0729324473937281
1000,1000,N=n,1,101,0,,0.0082644628099173,101,8.905123330127697,0.7741409305649855,7.344284916326227,14.307030340164712,8.214080339607696,8.538668418214964,8.74431337242793,9.100670505516764,9.807169357202644,101,1.6110025200762519,0.5792404777082112,0.4564600239659369,4.048325075491324,0.8943355708156261,1.286850287521632,1.487004385692439,1.9083153052343893,2.72745691905724,101,7.294120810051444,0.6720663298788788,6.3038416937534425,11.645318302315845,6.543909581729623,6.956796378932085,7.200590375048328,7.545945386856414,8.167738672134629,101,-0.0017833199572817164,0.051220276329623914,-0.1326054998782444,0.0978522832730952,-0.0954001868194907,-0.0297610257148791,-0.0008772282118905,0.0396407587741721,0.0674311050068777
1000,6907,N=n log(n),1,101,0,,0.0570826446280991,101,5.824217683859797,0.6392167018114772,4.5295448167357275,8.44047756238203,5.030757483985308,5.4028526682196185,5.72274229620082,6.155817582027019,6.9833960656595,101,0.957705938804745,0.406414994132862,0.3809219316878136,2.230213016041756,0.4226951443207463,0.6689063669324601,0.9083417737676658,1.1134112986806992,1.6154201893683235,101,4.866511745055053,0.43029944255514113,3.863760817020348,6.240311904832033,4.198122176570563,4.596630507108698,4.832504647883085,5.096660772099499,5.713237554623903,101,0.0027636723315942265,0.05207303788667026,-0.0984576906874608,0.1543636491270807,-0.0753920221965603,-0.0303994898986605,-0.0049502252250888,0.0336281901219395,0.0991875084786524
1000,31622,N=n^(3/2),1,101,0,,0.2613388429752066,101,3.885428264504058,0.5965249136098967,3.1025625745275516,8.052435151766726,3.25662041948429,3.607872106077624,3.777168290640808,4.077644344146824,4.695134688147282,101,0.5605760055134188,0.5748444564635008,0.072419625415753,4.718565074834389,0.0889794802656306,0.2173121197995487,0.429032686379459,0.7393234029181536,1.2832995862889138,101,3.32485225899064,0.29325494994267004,2.2715952012666616,4.011189383129617,2.859429823566927,3.146863501407676,3.327859278503892,3.4877249762454454,3.833583734205971,101,0.0025306887502667607,0.05277535026536186,-0.1351971386611636,0.1349298218794857,-0.0856151195239941,-0.0327222285197731,0.0112573765236082,0.0354252263019655,0.07230782570718
1000,1000000,N=n^2,1,101,0,,8.264462809917354,101,2.485317212533294,0.5877501575282321,1.6240618919602974,4.1909845397208905,1.8010203937066995,2.015486899085878,2.386605734202342,2.7707970305533784,3.6087502367349504,101,0.598323987123442,0.5554234344376449,0.0267441989869707,2.88559620635527,0.0969557418008058,0.2342636820691561,0.4174566862148057,0.7788518843883263,1.766361423084045,101,1.886993225409852,0.3688749487578854,1.2427369430167108,2.8332867121906684,1.344492449645605,1.6256703490814337,1.8190556729709384,2.0846084877861646,2.539064157651526,101,-0.003264941259794115,0.051876474649646974,-0.1432209548221157,0.1283411227078601,-0.0865060266676926,-0.0407921637234802,-9.720712454536108e-05,0.0309094497765377,0.0735349367313811
5000,5000,N=n,1,101,0,,0.0082644628099173,101,7.589801540726657,0.6930121630409228,6.122884061910001,10.17569084294198,6.624895224763256,7.111214681302353,7.537063917576451,8.011413637619412,8.726163109853818,101,0.9821502966234998,0.4807280094426367,0.2244558230787481,3.0251594961537096,0.4228709482289105,0.6228019182258903,0.9250579605580724,1.2636941620887483,1.8393680928922969,101,6.607651244103156,0.5455775042674114,5.696991336763331,8.199999677177027,5.833928313247652,6.252573723336482,6.54623881404674,6.978190449798136,7.448401092717038,101,0.0041910979279914315,0.052619539459063516,-0.1235799405530084,0.1312991239279012,-0.0832093784132939,-0.0350542914677606,0.0121326789178334,0.0338774969198262,0.0892435301167262
5000,42585,N=n log(n),1,101,0,,0.0703884297520661,101,4.539941963872539,0.6930925742287816,3.228438974749455,6.405149464222151,3.640968734792852,4.0251355372816855,4.418035543708347,4.879570984231771,6.021785149314112,101,0.8603704074908305,0.6444382178367297,0.0185842174752244,2.950410764775774,0.1732163114734762,0.3815283358050071,0.6822001554081131,1.1809750250897444,2.1791646635846607,101,3.679571556381708,0.33745260253401177,2.8718162396902684,4.596153836296139,3.1359935839375765,3.454738699446377,3.7047347078772273,3.901614086430696,4.167566782681353,101,-0.008039411771117366,0.05497938741030042,-0.1249068171913497,0.1371059073153011,-0.0958333321386914,-0.045211713078217,-0.0058054078552166,0.0230409663686323,0.0851268068862892
5000,353553,N=n^(3/2),1,101,0,,0.5843851239669422,101,3.161396886366404,0.6734760035075384,2.2343098525196488,5.213064239160804,2.4016804259887214,2.673958621709885,2.933238938971805,3.4703973467858225,4.455649487262816,101,0.7148607208164209,0.5840568463809457,0.0410282462386054,2.4907391116755324,0.0948749146007266,0.2934296812723571,0.5413134965861697,0.9689777833409372,1.9622420435344097,101,2.446536165549983,0.35377760995135105,1.9556983001920203,3.745751609438478,2.025937843767146,2.161470251532389,2.3535129528995764,2.6362467619316092,3.157879955546157,101,0.002335002876130855,0.046535103560334544,-0.1295485593977835,0.1159703229497216,-0.0694858343104737,-0.0270687356185519,0.0031970822392924,0.0346438268406362,0.0779959809513569
5000,25000000,N=n^2,1,101,0,,41.32231404958678,101,2.741789560253317,0.5502985793487992,1.7868248862147165,4.355836026708433,1.989425167471345,2.3563760826010296,2.6027766435958126,3.094047689590317,3.72143876880778,101,0.6568535132189277,0.5629790790852404,0.0333910797479824,2.660345388544603,0.0613492694333647,0.2441280932325618,0.5144478330715352,0.8574944985473796,1.6853484511639794,101,2.0849360470343883,0.3332862306990141,1.3261531988282638,2.977292945314524,1.6109034592595002,1.83193382660653,2.069701486862773,2.2985313394201867,2.579360510305742,101,0.0018310655221272208,0.05048509785399631,-0.1323440571476646,0.1208665611317936,-0.0726854411760644,-0.0271675468963794,-0.002838275412877,0.0274788229684915,0.0842058573714548
