n,N,N_label,standard_paper_grid,seed,scaled_budget,Delta_N_u_total,Delta_N_u_mean_term,Delta_N_u_cov_term,self_consistency_kl_u
100,100,N=n,1,0,0.0082644628099173,5.283320174610162,1.4889349801456266,3.7943851944645353,-0.0325385085269777
100,100,N=n,1,1,0.0082644628099173,8.753511775268278,3.09750344909855,5.656008326169728,0.006163937505573
100,100,N=n,1,2,0.0082644628099173,8.724091184759327,1.7338517068485015,6.990239477910826,0.0167904594354032
100,100,N=n,1,3,0.0082644628099173,6.540757172671459,3.1251213751229296,3.4156357975485294,0.0110135709156536
100,100,N=n,1,4,0.0082644628099173,6.622059325186526,2.33897431262636,4.283085012560166,-0.0798082971254592
100,100,N=n,1,5,0.0082644628099173,6.328642174729881,2.7201740057708403,3.60846816895904,-0.0227216326249697
100,100,N=n,1,6,0.0082644628099173,9.04360849389005,3.6135147725219343,5.430093721368115,0.0079152487889941
100,100,N=n,1,7,0.0082644628099173,6.32568683121053,1.5060759844696667,4.819610846740863,-0.0597145467920076
100,100,N=n,1,8,0.0082644628099173,9.450748655466745,2.834016602701929,6.6167320527648155,-0.0311193653805147
100,100,N=n,1,9,0.0082644628099173,5.09156544716089,1.3332380316473134,3.758327415513576,-0.0231729119535475
100,100,N=n,1,10,0.0082644628099173,10.43114504673579,4.365693467693727,6.065451579042062,-0.009381075105305
100,100,N=n,1,11,0.0082644628099173,10.14298914202845,3.086100610733043,7.056888531295407,-0.0334579434307516
100,100,N=n,1,12,0.0082644628099173,11.61962795503119,5.129905106450568,6.489722848580621,0.0210080017007243
100,100,N=n,1,13,0.0082644628099173,5.2795312511358725,0.4641325842987591,4.815398666837114,-0.0145405855312604
100,100,N=n,1,14,0.0082644628099173,10.392784022800685,6.541914555840978,3.850869466959707,0.0378491118024968
100,100,N=n,1,15,0.0082644628099173,8.86605322507574,2.232792365093033,6.633260859982707,0.0139395245356143
100,100,N=n,1,16,0.0082644628099173,9.762648719829008,5.130107292041642,4.632541427787365,0.0526597839610312
100,100,N=n,1,17,0.0082644628099173,7.975951087019725,2.3674027953344954,5.60854829168523,0.0008363502507509
100,100,N=n,1,18,0.0082644628099173,8.600327382583282,3.469068039240861,5.131259343342421,0.0599151650141125
100,100,N=n,1,19,0.0082644628099173,10.057693290338724,3.2943925876856497,6.7633007026530745,-0.0865857775084166
100,100,N=n,1,20,0.0082644628099173,5.369467144984976,1.2285021392381468,4.140965005746829,-0.0547677684619311
100,100,N=n,1,21,0.0082644628099173,5.230257305891725,1.0801088224398174,4.150148483451908,0.1309821857400482
100,100,N=n,1,22,0.0082644628099173,7.662021062584721,2.525826581701359,5.136194480883361,-0.0093290343614316
100,100,N=n,1,23,0.0082644628099173,8.602712800611812,2.538658063530469,6.064054737081342,-0.0284421053902746
100,100,N=n,1,24,0.0082644628099173,8.417264869413417,3.712772776231392,4.704492093182025,0.0577159931467401
100,100,N=n,1,25,0.0082644628099173,6.927302764295547,2.432374876206388,4.494927888089158,0.0004105407519194
100,100,N=n,1,26,0.0082644628099173,6.247638530015656,0.4963005206026101,5.751338009413045,-0.0293228705950584
100,100,N=n,1,27,0.0082644628099173,9.761555835471375,3.471057792938439,6.290498042532936,-0.0052656480343394
100,100,N=n,1,28,0.0082644628099173,8.09333110070197,2.1381031687066208,5.955227931995349,0.0037303539798438
100,100,N=n,1,29,0.0082644628099173,8.637319812379124,2.1608921299472374,6.476427682431886,-0.0086596521339089
100,100,N=n,1,30,0.0082644628099173,6.243339144865365,0.8811488884479273,5.3621902564174375,-0.0019033595806238
100,100,N=n,1,31,0.0082644628099173,9.934007512341916,3.690313453593147,6.243694058748769,0.0760225162234627
100,100,N=n,1,32,0.0082644628099173,8.457908512398369,3.031321303822149,5.426587208576219,-0.0056079059201297
100,100,N=n,1,33,0.0082644628099173,6.833369073526552,1.5638533097069036,5.269515763819649,0.035351060517801
100,100,N=n,1,34,0.0082644628099173,9.264409566429284,4.9603043960438065,4.304105170385477,-0.1432415454364203
100,100,N=n,1,35,0.0082644628099173,7.075516444156822,1.9693808480422936,5.1061355961145285,0.0555699118610891
100,100,N=n,1,36,0.0082644628099173,6.80871777796855,2.165541929870803,4.643175848097746,0.0646339709273091
100,100,N=n,1,37,0.0082644628099173,9.384832134489484,2.446275743392285,6.938556391097199,0.0425753704693989
100,100,N=n,1,38,0.0082644628099173,9.928480215154758,3.930042525345953,5.998437689808806,-0.0180229143424913
100,100,N=n,1,39,0.0082644628099173,9.454131469990186,3.746476172434537,5.7076552975556485,0.0665063853397984
100,100,N=n,1,40,0.0082644628099173,7.724112577673278,2.5853850283745134,5.138727549298764,-0.0673991451585742
100,100,N=n,1,41,0.0082644628099173,10.756140541451582,4.342191037471485,6.413949503980098,0.0225430730367565
100,100,N=n,1,42,0.0082644628099173,10.029718196877129,3.50657457970681,6.523143617170318,-0.0607393291113873
100,100,N=n,1,43,0.0082644628099173,10.549679819558497,3.621305789885751,6.928374029672743,-0.0199485968497937
100,100,N=n,1,44,0.0082644628099173,9.473631025701737,5.716575144601881,3.7570558810998542,0.1263220373007084
100,100,N=n,1,45,0.0082644628099173,7.672180320700444,2.5098761990686205,5.1623041216318235,0.0274250225634546
100,100,N=n,1,46,0.0082644628099173,9.916516759983583,3.637273833978562,6.27924292600502,-0.0213217008980502
100,100,N=n,1,47,0.0082644628099173,10.353687938751406,4.494052733594017,5.859635205157389,0.1150115307517586
100,100,N=n,1,48,0.0082644628099173,7.412730417015919,2.941575840966576,4.471154576049344,-0.0430271400324786
