method,n,N,N_label,standard_paper_grid,kl_seed_count,complete_101_kl,theta_kl_count,theta_kl_mean,theta_kl_sd,theta_kl_min,theta_kl_max,theta_kl_q05,theta_kl_q25,theta_kl_median,theta_kl_q75,theta_kl_q95
flow_npe,100,100,N=n,1,90,0,90,9.89419455188343,1.4089818489283117,6.444907697498666,13.139076024607412,7.357649737255728,9.213454882682534,9.881181473604858,10.770339068350959,12.125243567346653
flow_npe,100,460,N=n log(n),1,90,0,90,8.247963011754923,1.2168519519485157,5.246809237767884,11.075106510037351,6.2731228354175546,7.369623933262375,8.242064827564029,9.120838471356862,10.052649272859034
flow_npe,100,1000,N=n^(3/2),1,90,0,90,6.967163127483185,1.1742451363997883,4.480804095284738,10.806869406105125,5.100310577348588,6.191674306962619,6.8564120788641,7.819746684878221,8.764701551872927
flow_npe,100,10000,N=n^2,1,90,0,90,4.528571580688221,0.943394054839152,2.3877919405255588,7.8048908225557785,3.3338998034516916,3.9452797333316267,4.411142198054373,4.976339078965546,6.247552957727222
flow_npe,500,500,N=n,1,101,1,101,9.330273286170902,1.4317993135623799,6.111127178382208,12.954812075779213,7.40011289664186,8.347175039817945,9.017078517936277,10.365184816376692,11.749479349531647
flow_npe,500,3107,N=n log(n),1,101,1,101,6.549360798424371,1.0294052889565457,4.457894825108901,11.547530351405255,5.024493034887648,5.964459590191002,6.442726632906739,7.067532498173323,8.080572549900523
flow_npe,500,11180,N=n^(3/2),1,101,1,101,4.569581967984247,0.7878594125983209,2.941103716673599,8.41042022833114,3.5896715628835283,4.140376652477643,4.4087475106202145,4.927684188942287,6.02927633071942
flow_npe,500,250000,N=n^2,1,101,1,101,2.2515833885366856,0.7161769769133367,1.425852984710225,6.267437759620483,1.588126908741794,1.7977609179896645,2.069925324857908,2.4338059924573225,3.6853963291286918
flow_npe,1000,1000,N=n,1,101,1,101,9.07168783137329,1.2858472620207895,6.856022069535629,14.919000453584884,7.305981669403663,8.293479588076783,8.879188793410842,9.812772546845434,11.24469793629133
flow_npe,1000,6907,N=n log(n),1,101,1,101,5.724046705244615,0.9907425574885586,4.025984161619065,10.743752099887406,4.394036768311924,5.087009642788338,5.646776586593709,6.19247249250457,7.195215361153076
flow_npe,1000,31622,N=n^(3/2),1,101,1,101,3.9468081023375667,1.0042696742607446,2.8165106363441934,8.324983168816418,2.99683675019374,3.3629308002186495,3.627918438329654,4.146197458526704,5.840029952659319
flow_npe,1000,1000000,N=n^2,1,101,1,101,2.206876370692431,1.1296831896604926,1.3063196575617113,8.81919621200974,1.3956893898393132,1.6117666812612266,1.8211863113345554,2.385699575952811,4.048390303871531
flow_npe,5000,5000,N=n,1,101,1,101,7.092644002967712,1.2787956416846629,5.011540397571962,11.97884752538149,5.7013708324553125,6.247169366187836,6.8851100669130405,7.4253084867040835,9.380584011951306
flow_npe,5000,42585,N=n log(n),1,101,1,101,4.17923668747997,0.7123593791600943,3.0632902022913617,8.585843782654516,3.445349550963041,3.758337682774617,4.074651470507346,4.457557749753292,5.1313617416667965
flow_npe,5000,353553,N=n^(3/2),1,101,1,101,2.764594058834026,0.8189814422591003,1.8278593400590009,8.422950169510678,2.0430776066667216,2.2979102712702124,2.5601309279795132,2.947548769106441,3.791051587484834
flow_npe,5000,25000000,N=n^2,1,65,0,65,1.7687777584825444,0.5778119182655461,1.1290741070945531,5.52905965689543,1.3262045592593492,1.4722720327941055,1.6667751813319662,1.8492901226548029,2.408545512280598
flow_npe,10000,10000,N=n,0,101,1,101,6.514576488951886,1.0028957135723773,4.779864341176424,11.412239312987047,5.404773049353645,5.8981840364261355,6.342233281150057,6.900039576585223,7.985965042591238
flow_npe,10000,92103,N=n log(n),0,101,1,101,3.872268153389344,0.9061576546381076,2.8201186667500115,9.55388102853117,2.984889111186095,3.3193652801664366,3.672045338889254,4.22848553788971,5.118164940829045
flow_npe,10000,1000000,N=n^(3/2),0,101,1,101,2.855359507158594,0.9625581669236094,1.8757880895079444,7.4403404902162675,1.9705510599994538,2.272515090737807,2.556864426900669,3.170379109391235,4.4447678916758475
flow_npe,20000,20000,N=n,0,101,1,101,6.015700674495788,0.8409354369475313,4.848436349885809,10.985017530656082,5.163972922132276,5.532368443875741,5.86627466767336,6.3269732058027435,7.262038443166479
flow_npe,20000,198069,N=n log(n),0,101,1,101,3.757280931814525,0.9841613329519635,2.32664612030422,10.17233037506235,2.7746656133295002,3.2035771074116464,3.5549725172206017,4.004418513032966,5.317571987620574
flow_npe,20000,2828427,N=n^(3/2),0,47,0,47,2.924140959035653,0.5716769858265368,2.058841422852178,4.526024937664962,2.129487560028198,2.522618041390018,2.820402359960944,3.3207005628967554,3.9505352566938594
gaussian_npe,100,100,N=n,1,81,0,81,9.206176436368567,1.7471474943443006,5.697936937402413,13.003160318517686,6.318332337078833,8.041953269070104,9.43572572629564,10.409459130326926,11.933423389457598
gaussian_npe,100,460,N=n log(n),1,81,0,81,7.361642407375608,1.721757746045305,4.60026422327332,11.915841720915457,5.463579468080152,6.1031467498853145,6.863852558952845,8.214700113182465,10.849098506626538
gaussian_npe,100,1000,N=n^(3/2),1,81,0,81,6.4510023600786885,1.2885385509004295,4.602175165287192,11.301506284614351,5.110893393276353,5.653105559169151,6.29398448722347,6.793396031841761,9.185631645390195
gaussian_npe,100,10000,N=n^2,1,81,0,81,4.236970553538288,0.7861801150285259,2.7567999330304884,6.711079710623753,3.041990972438518,3.636006773575037,4.157160559180646,4.764467424651823,5.7067345442165625
gaussian_npe,500,500,N=n,1,101,1,101,8.651238771197407,1.389182710871793,6.5868800884431895,14.877351609673216,7.141617948459801,7.762075755022407,8.279539420843143,9.131368554054818,11.687590302602777
gaussian_npe,500,3107,N=n log(n),1,101,1,101,7.239408922440239,0.8448642063125782,5.7524938162317465,10.117551820174299,6.1671844221788525,6.652440185435781,7.178886320760463,7.740264201485986,8.876817569848413
gaussian_npe,500,11180,N=n^(3/2),1,101,1,101,4.622031714749991,0.5771906240875678,3.6429582464891084,7.309775724772591,3.9218187317953968,4.253710485536202,4.5093659156086305,4.876325343031949,5.7063344578764665
gaussian_npe,500,250000,N=n^2,1,101,1,101,2.955119404917912,0.6242814895502365,1.9162768762341904,4.910719876906041,2.1927550886999096,2.4451672976007894,2.8324777206575527,3.318105352955572,4.125531647295411
gaussian_npe,1000,1000,N=n,1,101,1,101,9.088287669919957,1.001107230861017,6.720032391912089,14.039375117474705,7.81686433319973,8.460498068037367,9.04752765659914,9.483695820297442,10.514485222595527
