method,n,N,N_label,standard_paper_grid,legacy_one_row_excluded,dir_count,seed_count,min_seed,max_seed,seeds,missing_dir_seeds_0_100,kl_seed_count,coverage_seed_count,bias_seed_count,posterior_seed_count,complete_kl_coverage_bias_seed_count,complete_101_kl_coverage_bias,include_in_complete_group_summaries,missing_kl_seeds_observed_dirs,missing_coverage_seeds_observed_dirs,missing_bias_seeds_observed_dirs,missing_posterior_seeds_observed_dirs
flow_npe,100,100,N=n,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,100,460,N=n log(n),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,100,1000,N=n^(3/2),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,100,10000,N=n^2,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,500,500,N=n,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,500,3107,N=n log(n),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,500,11180,N=n^(3/2),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,500,250000,N=n^2,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,1000,1000,N=n,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,1000,6907,N=n log(n),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,1000,31622,N=n^(3/2),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,1000,1000000,N=n^2,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,5000,5000,N=n,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,5000,42585,N=n log(n),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,5000,353553,N=n^(3/2),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
flow_npe,5000,25000000,N=n^2,1,0,101,101,0,100,0-100,,65,65,65,65,65,0,0,0-35,0-35,0-35,0-35
flow_npe,10000,10000,N=n,0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
flow_npe,10000,92103,N=n log(n),0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
flow_npe,10000,1000000,N=n^(3/2),0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
flow_npe,10000,100000000,N=n^2,0,0,50,50,2,100,"2-4,8-9,14-16,20,22-27,29-32,35-36,39-40,42,44-45,48,54,56,58,61-62,65,67-69,71,75-77,79-80,83,86-87,93,95-96,99-100","0-1,5-7,10-13,17-19,21,28,33-34,37-38,41,43,46-47,49-53,55,57,59-60,63-64,66,70,72-74,78,81-82,84-85,88-92,94,97-98",0,0,0,0,0,0,0,"2-4,8-9,14-16,20,22-27,29-32,35-36,39-40,42,44-45,48,54,56,58,61-62,65,67-69,71,75-77,79-80,83,86-87,93,95-96,99-100","2-4,8-9,14-16,20,22-27,29-32,35-36,39-40,42,44-45,48,54,56,58,61-62,65,67-69,71,75-77,79-80,83,86-87,93,95-96,99-100","2-4,8-9,14-16,20,22-27,29-32,35-36,39-40,42,44-45,48,54,56,58,61-62,65,67-69,71,75-77,79-80,83,86-87,93,95-96,99-100","2-4,8-9,14-16,20,22-27,29-32,35-36,39-40,42,44-45,48,54,56,58,61-62,65,67-69,71,75-77,79-80,83,86-87,93,95-96,99-100"
flow_npe,20000,20000,N=n,0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
flow_npe,20000,198069,N=n log(n),0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
flow_npe,20000,2828427,N=n^(3/2),0,0,101,101,0,100,0-100,,47,47,47,0,47,0,0,"0-1,5-8,10-13,17-19,21,28,33-34,37-38,41,43,46-47,49-53,55,57,59-60,63-66,70-74,78,81-82,84-85,88-92,94,97-98","0-1,5-8,10-13,17-19,21,28,33-34,37-38,41,43,46-47,49-53,55,57,59-60,63-66,70-74,78,81-82,84-85,88-92,94,97-98","0-1,5-8,10-13,17-19,21,28,33-34,37-38,41,43,46-47,49-53,55,57,59-60,63-66,70-74,78,81-82,84-85,88-92,94,97-98",0-100
gaussian_npe,100,100,N=n,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,100,460,N=n log(n),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,100,1000,N=n^(3/2),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,100,10000,N=n^2,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,500,500,N=n,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,500,3107,N=n log(n),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,500,11180,N=n^(3/2),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,500,250000,N=n^2,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,1000,1000,N=n,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,1000,6907,N=n log(n),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,1000,31622,N=n^(3/2),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,1000,31623,other,0,1,1,1,1,1,1,"0,2-100",1,1,1,1,1,0,0,,,,
gaussian_npe,1000,1000000,N=n^2,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,5000,5000,N=n,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,5000,42585,N=n log(n),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,5000,353553,N=n^(3/2),1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,5000,25000000,N=n^2,1,0,101,101,0,100,0-100,,101,101,101,101,101,1,1,,,,
gaussian_npe,10000,10000,N=n,0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
gaussian_npe,10000,92103,N=n log(n),0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
gaussian_npe,10000,1000000,N=n^(3/2),0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
gaussian_npe,10000,100000000,N=n^2,0,0,101,101,0,100,0-100,,0,0,0,0,0,0,0,0-100,0-100,0-100,0-100
gaussian_npe,20000,20000,N=n,0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
gaussian_npe,20000,198069,N=n log(n),0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
gaussian_npe,20000,2828427,N=n^(3/2),0,0,101,101,0,100,0-100,,101,101,101,0,101,1,1,,,,0-100
