method,n,N,N_label,param,seed_count,replicate_count_total,seed_mean_bias_mean,seed_mean_bias_sd,seed_mean_abs_bias_mean,seed_mean_bias_rmse,replicate_mean_abs_bias_mean,seed_mean_bias_q05,seed_mean_bias_q25,seed_mean_bias_median,seed_mean_bias_q75,seed_mean_bias_q95
flow_npe,100,100,N=n,A,101,10100,0.27522302412750693,0.5902380436094017,0.4121549027272971,0.6485979839744234,0.42648402971796473,-0.35039801836013795,-0.10000494241714478,0.11260258913040161,0.3867371702194214,1.517779631614685
flow_npe,100,100,N=n,B,101,10100,2.931828733245925,0.741045583332296,2.931828733245925,3.0231326737742026,2.931828733245925,1.532081024646759,2.496359899044037,2.99449245929718,3.3768912982940673,4.134035992622375
flow_npe,100,100,N=n,g,101,10100,2.984971148094328,0.555708780241773,2.984971148094328,3.035754841283982,2.984971148094328,2.2004039764404295,2.640385847091675,2.9747975492477416,3.307211594581604,3.971026062965393
flow_npe,100,100,N=n,k,101,10100,3.456627686849915,0.5268089431087345,3.456627686849915,3.496148570841596,3.456627686849915,2.667198374271393,3.0969564175605773,3.450684356689453,3.7829901695251467,4.401226353645325
flow_npe,100,460,N=n log(n),A,101,10100,0.01347897470587551,0.21695331916042493,0.11140992346376473,0.21629701407660146,0.1528380488169075,-0.16478775024414063,-0.0915821623802185,-0.005211572647094726,0.07676192998886108,0.1744221878051758
flow_npe,100,460,N=n log(n),B,101,10100,1.7897829597185153,0.6036508841447485,1.7897829597185153,1.8878849455357936,1.7897829597185153,0.9216857349872589,1.3873217153549193,1.6696928119659424,2.191663203239441,2.8036983251571654
flow_npe,100,460,N=n log(n),g,101,10100,3.3345482684598107,0.3006688004881832,3.3345482684598107,3.3479424749636237,3.3345482684598107,2.777431011199951,3.0949176263809206,3.333970756530762,3.5176838207244874,3.8614453983306887
flow_npe,100,460,N=n log(n),k,101,10100,2.924890783258004,0.37103338379187945,2.924890783258004,2.948099190738201,2.924890783258004,2.2935183477401733,2.7213756537437437,2.888501145839691,3.102347741127014,3.5359222078323365
flow_npe,100,1000,N=n^(3/2),A,101,10100,0.05800358725066231,0.2101982292238818,0.08362734586885659,0.21704896528394665,0.1366134319210997,-0.06936584234237671,-0.004547178745269775,0.03085040092468262,0.07757964372634887,0.2002423882484436
flow_npe,100,1000,N=n^(3/2),B,101,10100,0.9920405032375069,0.40772440485210953,0.9920405032375069,1.0717917791242788,0.9920879370859352,0.43939297914505004,0.7342464518547058,0.8997965025901794,1.2329012095928191,1.6327482914924623
flow_npe,100,1000,N=n^(3/2),g,101,10100,3.4331562812257523,0.342577490442505,3.4331562812257523,3.4500375961204353,3.4331562812257523,2.8736258697509767,3.299910068511963,3.4462070655822754,3.6108904218673707,4.002195129394531
flow_npe,100,1000,N=n^(3/2),k,101,10100,2.7392654555622893,0.30410718129036984,2.7392654555622893,2.755928293429344,2.7392654555622893,2.242563552856445,2.5308279466629027,2.7652539253234862,2.9384601593017576,3.180941939353943
flow_npe,100,10000,N=n^2,A,101,10100,0.04150764781649749,0.19917129876348158,0.048795507685972905,0.2024829046118768,0.12064149247537746,-0.026961925029754637,0.006121978759765625,0.021348998546600342,0.04229368209838867,0.07845673561096192
flow_npe,100,10000,N=n^2,B,101,10100,0.23514746340784695,0.4669980262056567,0.2361973368826479,0.5207899838227446,0.3348200647134592,0.029832550287246705,0.11706049561500549,0.18124291956424712,0.27401449143886564,0.3564695072174072
