method,param,n,N=n,N=n log(n),N=n^(3/2),N=n^2
flow_npe,A,100,1.00/1.00/1.00,0.99/1.00/1.00,0.98/1.00/1.00,0.78/0.91/0.97
flow_npe,A,500,0.99/1.00/1.00,0.82/0.93/0.98,0.78/0.89/0.95,0.79/0.89/0.94
flow_npe,A,1000,0.95/0.99/1.00,0.80/0.91/0.96,0.76/0.88/0.94,0.80/0.90/0.95
flow_npe,A,5000,0.87/0.95/0.98,0.79/0.89/0.95,0.79/0.89/0.95,0.80/0.90/0.95
flow_npe,B,100,0.91/0.98/0.99,1.00/1.00/1.00,1.00/1.00/1.00,0.95/0.99/1.00
flow_npe,B,500,0.98/1.00/1.00,0.92/0.98/1.00,0.92/0.98/1.00,0.83/0.92/0.97
flow_npe,B,1000,0.91/0.98/1.00,0.91/0.98/1.00,0.87/0.95/0.99,0.83/0.92/0.96
flow_npe,B,5000,0.88/0.98/0.99,0.87/0.95/0.98,0.83/0.92/0.96,0.81/0.91/0.95
flow_npe,g,100,0.68/0.94/1.00,0.32/0.98/1.00,0.25/0.95/1.00,0.74/0.94/1.00
flow_npe,g,500,0.63/0.96/1.00,0.96/0.99/1.00,0.98/1.00/1.00,0.93/0.98/1.00
flow_npe,g,1000,0.88/0.99/1.00,0.98/1.00/1.00,0.93/0.98/0.99,0.87/0.95/0.99
flow_npe,g,5000,0.97/1.00/1.00,0.90/0.97/0.99,0.87/0.95/0.98,0.86/0.94/0.98
flow_npe,k,100,0.77/0.91/0.95,0.98/1.00/1.00,1.00/1.00/1.00,1.00/1.00/1.00
flow_npe,k,500,0.89/0.99/1.00,0.98/1.00/1.00,0.98/1.00/1.00,0.87/0.96/0.99
flow_npe,k,1000,0.98/1.00/1.00,0.96/1.00/1.00,0.96/1.00/1.00,0.84/0.94/0.98
flow_npe,k,5000,0.94/1.00/1.00,0.92/0.98/0.99,0.89/0.96/0.98,0.85/0.94/0.97
gaussian_npe,A,100,0.99/1.00/1.00,0.96/0.99/1.00,0.95/0.99/1.00,0.81/0.90/0.94
gaussian_npe,A,500,0.97/0.99/1.00,0.79/0.89/0.94,0.74/0.85/0.91,0.79/0.89/0.94
gaussian_npe,A,1000,0.94/0.98/0.99,0.77/0.88/0.93,0.78/0.88/0.93,0.82/0.91/0.95
gaussian_npe,A,5000,0.86/0.94/0.97,0.82/0.91/0.96,0.81/0.91/0.95,0.81/0.91/0.96
gaussian_npe,B,100,0.94/0.98/1.00,1.00/1.00/1.00,1.00/1.00/1.00,0.92/0.98/1.00
gaussian_npe,B,500,0.96/1.00/1.00,0.78/0.98/1.00,0.87/0.96/0.99,0.84/0.93/0.97
gaussian_npe,B,1000,0.84/1.00/1.00,0.83/0.95/0.99,0.84/0.93/0.97,0.83/0.92/0.97
gaussian_npe,B,5000,0.79/0.94/0.99,0.86/0.94/0.98,0.83/0.92/0.96,0.83/0.92/0.96
gaussian_npe,g,100,0.56/0.96/0.99,0.30/0.95/1.00,0.12/1.00/1.00,0.80/0.98/1.00
gaussian_npe,g,500,0.60/0.99/1.00,0.98/1.00/1.00,0.99/1.00/1.00,0.92/0.98/1.00
gaussian_npe,g,1000,0.90/1.00/1.00,1.00/1.00/1.00,0.93/0.99/1.00,0.89/0.96/0.99
gaussian_npe,g,5000,1.00/1.00/1.00,0.82/0.93/0.97,0.87/0.95/0.98,0.87/0.95/0.98
gaussian_npe,k,100,0.84/0.90/0.96,1.00/1.00/1.00,0.99/0.99/1.00,1.00/1.00/1.00
gaussian_npe,k,500,0.99/1.00/1.00,1.00/1.00/1.00,1.00/1.00/1.00,0.93/0.97/0.98
gaussian_npe,k,1000,0.97/0.99/0.99,1.00/1.00/1.00,1.00/1.00/1.00,0.89/0.98/0.99
gaussian_npe,k,5000,0.99/0.99/1.00,0.97/1.00/1.00,0.87/0.96/0.99,0.88/0.96/0.99
