n,N,N_label,standard_paper_grid,seed,flow_theta_kl,gaussian_theta_kl
100,100,N=n,1,1,8.419142874254831,9.656038024541285
100,100,N=n,1,2,9.302097108667795,8.077346575681988
100,100,N=n,1,3,6.444907697498666,7.130081077721355
100,100,N=n,1,4,11.259316838327148,7.118987765316386
100,100,N=n,1,7,12.574970145079522,6.973983672167958
100,100,N=n,1,8,9.494926647003583,10.850055082133347
100,100,N=n,1,9,9.418031817528725,5.921121433240698
100,100,N=n,1,10,9.412657003644455,10.836729444920522
100,100,N=n,1,11,10.998399530791346,11.609327579308218
100,100,N=n,1,12,10.446013258498558,11.459433380771046
100,100,N=n,1,13,7.430650891682168,5.910459054408108
100,100,N=n,1,15,7.246300769104728,9.43572572629564
100,100,N=n,1,16,10.456086050868143,9.411134231072715
100,100,N=n,1,17,9.518316998904385,8.994641945849299
100,100,N=n,1,19,11.00441408587988,10.839346818374073
100,100,N=n,1,21,9.338334843448978,5.697936937402413
100,100,N=n,1,22,7.59982361088192,7.915883547975769
100,100,N=n,1,23,9.271900337050903,9.688136491852795
100,100,N=n,1,24,7.387916095096115,9.404360493474167
100,100,N=n,1,27,8.735929102965983,11.248392292665198
100,100,N=n,1,28,9.192283761396146,8.782911807361558
100,100,N=n,1,29,7.340260528339097,8.52643239274824
100,100,N=n,1,31,10.554467358031447,8.876592442617879
100,100,N=n,1,33,10.589708043611365,9.548684115265269
100,100,N=n,1,34,10.776741848418197,9.129230675821852
100,100,N=n,1,35,12.520568431402992,7.510147588963013
100,100,N=n,1,36,9.30664005536824,8.147448695312514
100,100,N=n,1,37,9.616627928402998,12.790885544315396
100,100,N=n,1,40,10.492551310725494,8.674391242395238
100,100,N=n,1,41,9.43038863571492,12.119192660737532
100,100,N=n,1,42,9.395528711192627,10.159055702079947
100,100,N=n,1,43,10.795876407657449,9.816415860301923
100,100,N=n,1,44,9.81744048548425,8.776103220266531
100,100,N=n,1,45,9.486127039866929,9.672909596179359
100,100,N=n,1,46,9.990763492655235,10.185416424337669
100,100,N=n,1,47,7.043523714234801,10.162259338693623
100,100,N=n,1,48,9.311180309238363,10.125458360496834
100,100,N=n,1,49,10.655397226919083,10.336284732091885
100,100,N=n,1,50,9.786289939679257,8.263868402595785
100,100,N=n,1,51,11.869948273982438,9.26984160877288
100,100,N=n,1,52,9.241890367034696,10.77636123763828
100,100,N=n,1,53,10.849213172035427,6.318332337078833
100,100,N=n,1,55,7.890258616511213,8.041953269070104
100,100,N=n,1,57,10.731209839294781,9.58969279034013
100,100,N=n,1,58,11.350727932537534,9.21596728164828
100,100,N=n,1,59,10.82976029293329,10.858437855273591
100,100,N=n,1,60,8.537762441315927,9.81938071212535
100,100,N=n,1,61,10.437165020373719,9.46460135488525
100,100,N=n,1,65,9.77630982391334,8.385424692272458
100,100,N=n,1,67,8.60277941289059,6.771614034404322
100,100,N=n,1,68,9.973613188383602,5.834135621288112
100,100,N=n,1,70,9.634736537901327,8.702717193184245
100,100,N=n,1,71,10.566809838207401,10.410253568082556
100,100,N=n,1,76,9.843647717677323,8.15124270098823
100,100,N=n,1,77,10.75113072814924,7.3879259374012936
100,100,N=n,1,78,9.33616956634272,10.049780073072812
100,100,N=n,1,80,13.139076024607412,10.507098468921923
100,100,N=n,1,81,11.63036710674157,10.590825078960657
100,100,N=n,1,82,12.113273452150388,6.694733625549455
100,100,N=n,1,83,10.466375949622458,11.891244080443533
100,100,N=n,1,84,12.257653327793582,11.336401065790058
100,100,N=n,1,85,7.378903214820499,10.409459130326926
100,100,N=n,1,88,11.34148822221009,6.887303284923269
100,100,N=n,1,89,9.08560271270254,10.648216209972496
100,100,N=n,1,90,10.72547076070733,7.111260078151332
100,100,N=n,1,91,12.064286332692697,11.09497809691167
100,100,N=n,1,92,10.95905155155048,10.298753883276172
100,100,N=n,1,93,10.577598926367028,9.782679235782977
100,100,N=n,1,94,7.909322868388699,8.687646181008379
100,100,N=n,1,95,10.256320898453746,6.881181057128896
100,100,N=n,1,96,8.880352585315187,13.003160318517686
100,100,N=n,1,97,12.135037297961778,7.662710864608141
100,460,N=n log(n),1,1,7.322305466036928,6.592853279658792
100,460,N=n log(n),1,2,9.756983079290162,6.673361984613987
100,460,N=n log(n),1,3,6.214629134502094,6.830792523098733
100,460,N=n log(n),1,4,10.029788942460048,5.8336597329829365
100,460,N=n log(n),1,7,9.063187224805558,6.5366695400699575
100,460,N=n log(n),1,8,8.18603699291174,6.474773770285696
100,460,N=n log(n),1,9,6.913799289770994,10.679740292271656
100,460,N=n log(n),1,10,7.071692550594673,5.582805215927852
100,460,N=n log(n),1,11,7.552786209202283,6.131350898406868
100,460,N=n log(n),1,12,9.446104944563311,10.978756525503561
100,460,N=n log(n),1,13,5.919067988484228,6.279921603992674
100,460,N=n log(n),1,15,6.323147785555332,6.788068530768347
100,460,N=n log(n),1,16,5.969029496635789,5.8062722946068295
100,460,N=n log(n),1,17,8.263085483126806,9.27264509912435
100,460,N=n log(n),1,19,9.913883552348462,6.733933098974574
100,460,N=n log(n),1,21,7.472330254194192,7.419945417021522
100,460,N=n log(n),1,22,8.195872423799493,11.388022275868137
100,460,N=n log(n),1,23,7.026831267000855,7.821526597802858
100,460,N=n log(n),1,24,8.966032528806533,5.619173696444894
100,460,N=n log(n),1,27,6.514438432909345,7.237538120705429
100,460,N=n log(n),1,28,7.149488949033098,7.02317204829921
100,460,N=n log(n),1,29,9.675704221359752,7.451282229015916
100,460,N=n log(n),1,31,8.149588261015383,8.613081168514647
100,460,N=n log(n),1,33,8.445075553836698,4.828390499905347
100,460,N=n log(n),1,34,8.067270499942321,8.706838575121077
100,460,N=n log(n),1,35,9.822359226024624,5.598018411613727
100,460,N=n log(n),1,36,6.32810016128482,4.60026422327332
100,460,N=n log(n),1,37,10.191681732006874,10.607821919944756
100,460,N=n log(n),1,40,8.959606126263992,7.398436642773397
100,460,N=n log(n),1,41,11.075106510037351,5.957828023885128
100,460,N=n log(n),1,42,8.221044172001251,6.863852558952845
100,460,N=n log(n),1,43,9.230047110486186,9.477452347615591
100,460,N=n log(n),1,44,6.426872755860284,7.060282422749584
100,460,N=n log(n),1,45,9.14005555354063,9.076526494847942
100,460,N=n log(n),1,46,7.733731578669074,6.914056268131572
100,460,N=n log(n),1,47,6.232193330759372,6.314045947215693
100,460,N=n log(n),1,48,8.192122418443878,6.173269648538542
100,460,N=n log(n),1,49,8.35316582375762,8.229294728179857
100,460,N=n log(n),1,50,7.354419848061142,9.641701028627045
100,460,N=n log(n),1,51,8.76257710272876,5.454136981099636
100,460,N=n log(n),1,52,9.349766238403625,10.849098506626538
100,460,N=n log(n),1,53,8.16259590745147,5.463579468080152
100,460,N=n log(n),1,55,7.459167887699668,6.1016443258273885
100,460,N=n log(n),1,57,8.66968176019241,6.030964742255906
100,460,N=n log(n),1,58,9.959376044559969,7.235053653984214
100,460,N=n log(n),1,59,8.004386783458763,6.6676588707523985
100,460,N=n log(n),1,60,8.387598392756761,5.638080112862845
100,460,N=n log(n),1,61,8.739727553201604,6.117522893037054
100,460,N=n log(n),1,65,7.741910257179097,5.712928359459955
100,460,N=n log(n),1,67,9.352899389410391,9.596731557372697
100,460,N=n log(n),1,68,7.138223034896584,7.648217791278516
100,460,N=n log(n),1,70,7.073127712764827,5.606585272468024
100,460,N=n log(n),1,71,7.83359482597721,5.2879777694113095
100,460,N=n log(n),1,76,9.150810141939685,6.23226474024053
100,460,N=n log(n),1,77,8.934076128029924,5.960608607463096
100,460,N=n log(n),1,78,8.085373160555248,5.486002654500433
100,460,N=n log(n),1,80,10.264861252265357,6.454268767122486
100,460,N=n log(n),1,81,7.730946018100844,8.96664761173127
100,460,N=n log(n),1,82,7.98055238371628,7.933311376930004
100,460,N=n log(n),1,83,9.940521793664644,11.576146488386174
100,460,N=n log(n),1,84,10.406239456575838,8.125742771213918
100,460,N=n log(n),1,85,6.578533459713186,6.767503073510045
100,460,N=n log(n),1,88,9.81016171064518,7.996235707632558
100,460,N=n log(n),1,89,8.401548022636394,6.4155267027138105
