method,n,N,N_label,param,seed_count,coverage_80_mean,coverage_80_sd,coverage_90_mean,coverage_90_sd,coverage_95_mean,coverage_95_sd
flow_npe,100,100,N=n,lambda,101,0.9959405943898871,0.025813882281868518,1.0,0.0,1.0,0.0
flow_npe,100,460,N=n log(n),lambda,101,0.9336633688152427,0.10202669235305695,0.9913861397469398,0.03092020948518095,0.9995049509671655,0.003279093584943188
flow_npe,100,1000,N=n^(3/2),lambda,101,0.8108910918235779,0.10948149738883094,0.9447524795437804,0.05512883446454817,0.9914851519140867,0.01663647283549803
flow_npe,100,10000,N=n^2,lambda,100,0.8076999980211258,0.06527107262970591,0.9113999980688096,0.04472181147969775,0.9603000050783157,0.029179179301994696
flow_npe,500,500,N=n,lambda,101,0.9724752486932395,0.10296995736835106,0.9998019803868662,0.0019900724825371537,1.0,0.0
flow_npe,500,3107,N=n log(n),lambda,101,0.868118812247078,0.11182766365425686,0.9569306957839739,0.054804064522303436,0.9909901034713972,0.01946817663788648
flow_npe,500,11180,N=n^(3/2),lambda,101,0.829900985602105,0.09341836216556512,0.9308910918707894,0.061271515909914594,0.9721782242897714,0.03796324556629196
flow_npe,500,250000,N=n^2,lambda,94,0.8175531873043548,0.04849756050791521,0.9127659588418109,0.0378566716728178,0.9587234093787822,0.0246800682478592
flow_npe,1000,1000,N=n,lambda,101,0.9671287164829745,0.06419247143464189,0.9986138627080634,0.005662097207939751,1.0,0.0
flow_npe,1000,6907,N=n log(n),lambda,101,0.873564357214635,0.1109647197495742,0.954950499062491,0.06325541681861604,0.9870297058974162,0.03119437538887062
flow_npe,1000,31622,N=n^(3/2),lambda,100,0.8387000012397766,0.07859440883631165,0.9338000047206879,0.05441665194089889,0.9759000062942504,0.02792829924331233
flow_npe,1000,1000000,N=n^2,lambda,63,0.7977777747880845,0.061288436958648086,0.9030158746810186,0.050181441298986905,0.9490476269570608,0.036926886721754155
flow_npe,5000,5000,N=n,lambda,101,0.9319802005544747,0.1751743135572782,0.9828712881201564,0.06394273412041787,0.9988118823211972,0.0049572381982398855
flow_npe,5000,42585,N=n log(n),lambda,98,0.89275510441892,0.13233650236125605,0.964081637713374,0.0704453699362975,0.9888775537208635,0.03330219909636773
flow_npe,5000,353553,N=n^(3/2),lambda,84,0.8591666672201383,0.07365187492156244,0.9458333395776295,0.0421474313964668,0.977380959760575,0.025653816619750823
flow_npe,5000,2500000,other,lambda,26,0.8149999930308416,0.06288083545763393,0.9165384631890517,0.03815151603641234,0.9611538511056167,0.025032293082750883
flow_npe,5000,25000000,N=n^2,lambda,3,0.8333333333333334,0.14364306298070287,0.9300000071525574,0.0655743817889637,0.9700000087420145,0.03605551143213283
gaussian_npe,100,100,N=n,lambda,101,0.9983168316831683,0.008952017306807794,0.99990099009901,0.0009950371902099895,1.0,0.0
gaussian_npe,100,460,N=n log(n),lambda,101,0.9211881188118812,0.14834612990376844,0.9582178217821782,0.10060214748805277,0.9752475247524752,0.06923285433095967
gaussian_npe,100,1000,N=n^(3/2),lambda,101,0.762871287128713,0.12612958918242273,0.86009900990099,0.09736010527423386,0.91990099009901,0.06996420584134362
gaussian_npe,100,10000,N=n^2,lambda,101,0.8343564356435644,0.0566112328356159,0.9238613861386138,0.04266076176135871,0.9625742574257427,0.028377930345482714
gaussian_npe,500,500,N=n,lambda,101,0.9681188118811881,0.08069340581840784,0.9908910891089109,0.029260861569714244,0.9973267326732672,0.010187353837862997
gaussian_npe,500,3107,N=n log(n),lambda,101,0.7641584158415842,0.13252371355144463,0.8669306930693073,0.10513555606223259,0.9248514851485147,0.0751613446046056
gaussian_npe,500,11180,N=n^(3/2),lambda,101,0.801089108910891,0.08935212353491113,0.9011881188118811,0.06825374903568111,0.9473267326732673,0.04973713077990951
gaussian_npe,500,250000,N=n^2,lambda,95,0.8406315789473684,0.0599789063332036,0.9287368421052629,0.04126309219091141,0.9688421052631578,0.024182953284561208
gaussian_npe,1000,1000,N=n,lambda,101,0.843861386138614,0.20187605255220195,0.9222772277227722,0.15063785173799318,0.9604950495049506,0.10821623018405105
gaussian_npe,1000,6907,N=n log(n),lambda,101,0.7939603960396039,0.1305839133118685,0.8937623762376239,0.0995273980886521,0.9423762376237623,0.06566808227520407
gaussian_npe,1000,31622,N=n^(3/2),lambda,100,0.8170000000000002,0.09960021094456588,0.9131,0.07350798760967574,0.9597,0.045024235897811946
gaussian_npe,1000,1000000,N=n^2,lambda,70,0.8547142857142859,0.08645550801090945,0.9377142857142857,0.04975800652408129,0.9717142857142856,0.03002276568917876
gaussian_npe,5000,5000,N=n,lambda,101,0.9038613861386138,0.13279284842964775,0.9685148514851486,0.05805835234682192,0.9909900990099009,0.025199402790346024
gaussian_npe,5000,42585,N=n log(n),lambda,99,0.826060606060606,0.2111959056779727,0.9204040404040404,0.13703804917716855,0.9650505050505049,0.07385000984308637
gaussian_npe,5000,353553,N=n^(3/2),lambda,85,0.867529411764706,0.15000718937019353,0.9438823529411764,0.08313921368127448,0.978235294117647,0.04598593135245759
