method,n,N,N_label,param,seed_count,coverage_80_mean,coverage_80_sd,coverage_90_mean,coverage_90_sd,coverage_95_mean,coverage_95_sd
flow_npe,100,100,N=n,sigma,101,0.9955445545734746,0.04477667237327274,1.0,0.0,1.0,0.0
flow_npe,100,460,N=n log(n),sigma,101,0.997128712658835,0.028856080651207865,1.0,0.0,1.0,0.0
flow_npe,100,1000,N=n^(3/2),sigma,101,0.9785148525001979,0.06155300660153285,0.9979207928818051,0.010326355116576544,0.9999009901934331,0.0009950362412685769
flow_npe,100,10000,N=n^2,sigma,100,0.8815000015497207,0.0874021856963235,0.9615000075101853,0.04088354932492866,0.991500004529953,0.0170782490556348
flow_npe,500,500,N=n,sigma,101,1.0,0.0,1.0,0.0,1.0,0.0
flow_npe,500,3107,N=n log(n),sigma,101,0.9597029716956733,0.1251835090904355,0.9784158419928338,0.10295370481867916,0.9918811884847017,0.05675760645651235
flow_npe,500,11180,N=n^(3/2),sigma,101,0.8954455445308497,0.13809797150348357,0.9681188145486435,0.06526427859304568,0.9908910918943953,0.027059155520566827
flow_npe,500,250000,N=n^2,sigma,94,0.8060638270479568,0.07217389391850185,0.9131914941554374,0.05018702083379194,0.961808516624126,0.030829491588751246
flow_npe,1000,1000,N=n,sigma,101,0.9920792080978356,0.07281918367100595,1.0,0.0,1.0,0.0
flow_npe,1000,6907,N=n log(n),sigma,101,0.9524752491771584,0.11614995540639993,0.9861386146875891,0.04878463494974168,0.9954455447669076,0.022159636369238768
flow_npe,1000,31622,N=n^(3/2),sigma,100,0.8511000022292137,0.1235656724944425,0.9395000010728836,0.07579045165348061,0.9795000046491623,0.04061086710123782
flow_npe,1000,1000000,N=n^2,sigma,63,0.8242857139261942,0.11948430163392239,0.9201587334511772,0.08453844699307819,0.9646031790309482,0.05269588218914636
flow_npe,5000,5000,N=n,sigma,101,0.9730693084178584,0.10625198626589578,0.9941584166913929,0.03231925916249571,0.9969306930457011,0.030846153133745023
flow_npe,5000,42585,N=n log(n),sigma,98,0.9032653089688749,0.12417792201255,0.97061224859588,0.060441950134518044,0.9930612262414427,0.02022594827497837
flow_npe,5000,353553,N=n^(3/2),sigma,84,0.8075000008656865,0.14905222602213378,0.9100000003264064,0.09975875206450426,0.9616666720027015,0.058181964474071916
flow_npe,5000,2500000,other,sigma,26,0.8188461512327194,0.11721183980614425,0.9188461601734161,0.08006631598486877,0.9676923155784607,0.05093585986764073
flow_npe,5000,25000000,N=n^2,sigma,3,0.8366666436195374,0.06027713957925821,0.9400000174840292,0.03000000119209783,0.9866666793823242,0.01154699437171005
gaussian_npe,100,100,N=n,sigma,101,0.9998019801980198,0.00199007438041998,1.0,0.0,1.0,0.0
gaussian_npe,100,460,N=n log(n),sigma,101,0.99990099009901,0.0009950371902099897,1.0,0.0,1.0,0.0
gaussian_npe,100,1000,N=n^(3/2),sigma,101,0.9998019801980198,0.0014001414355714079,1.0,0.0,1.0,0.0
gaussian_npe,100,10000,N=n^2,sigma,101,0.9427722772277227,0.0662135758267319,0.9830693069306932,0.030091280273774522,0.9944554455445545,0.01322688531172418
gaussian_npe,500,500,N=n,sigma,101,1.0,0.0,1.0,0.0,1.0,0.0
gaussian_npe,500,3107,N=n log(n),sigma,101,0.9743564356435644,0.07952881039703985,1.0,0.0,1.0,0.0
gaussian_npe,500,11180,N=n^(3/2),sigma,101,0.9352475247524752,0.1472385415535344,0.9993069306930694,0.004529332344302916,1.0,0.0
gaussian_npe,500,250000,N=n^2,sigma,95,0.832736842105263,0.1496338943943642,0.9298947368421053,0.0939046000373501,0.9732631578947366,0.04485062928620312
gaussian_npe,1000,1000,N=n,sigma,101,1.0,0.0,1.0,0.0,1.0,0.0
gaussian_npe,1000,6907,N=n log(n),sigma,101,0.9493069306930692,0.1675664490627081,0.9997029702970297,0.0029851115706299707,1.0,0.0
gaussian_npe,1000,31622,N=n^(3/2),sigma,100,0.9427999999999999,0.14626722466123782,0.9999000000000001,0.001000000000000001,1.0,0.0
gaussian_npe,1000,1000000,N=n^2,sigma,70,0.8779999999999999,0.17586720945735973,0.9605714285714285,0.08207253268370614,0.9834285714285711,0.047818670608865445
gaussian_npe,5000,5000,N=n,sigma,101,0.9659405940594059,0.14145796702781913,1.0,0.0,1.0,0.0
gaussian_npe,5000,42585,N=n log(n),sigma,99,0.9177777777777776,0.23196391149449877,0.9985858585858586,0.014070529413628964,1.0,0.0
gaussian_npe,5000,353553,N=n^(3/2),sigma,85,0.920235294117647,0.21055468959613408,0.9832941176470588,0.05833785496681252,0.9972941176470588,0.013218694850756755
