method,n,N,N_label,param,seed_count,coverage_80_mean,coverage_80_sd,coverage_90_mean,coverage_90_sd,coverage_95_mean,coverage_95_sd
flow_npe,100,100,N=n,xi,101,0.26118811874622755,0.43350729439976166,0.49198019797775416,0.49076678761585096,0.7877227723561596,0.3994192813913916
flow_npe,100,460,N=n log(n),xi,101,0.341089109917826,0.44558254388005947,0.673663367194557,0.4345289936121775,0.9518811882353655,0.20451754379978163
flow_npe,100,1000,N=n^(3/2),xi,101,0.8339603969661316,0.33539254436058674,0.8818811903348064,0.2870495182351249,0.9835643561759798,0.06960724296995681
flow_npe,100,10000,N=n^2,xi,100,0.9284000039100647,0.0809254565271283,0.9828000026941299,0.029952150258649377,0.9975000017881394,0.009468177595495045
flow_npe,500,500,N=n,xi,101,0.29623762429645745,0.4299484893537084,0.6780198015973414,0.4455648544411422,0.9581188116923417,0.1968690575340266
flow_npe,500,3107,N=n log(n),xi,101,0.9953465349603408,0.032666935350767055,0.9938613860914023,0.03237191152742866,0.9954455447669076,0.03157609001526087
flow_npe,500,11180,N=n^(3/2),xi,101,0.9392079214132069,0.13758403473616604,0.977227723096857,0.09275902971801749,0.9961386145931659,0.019077227993099508
flow_npe,500,250000,N=n^2,xi,94,0.8291489361448491,0.08152655977927208,0.9281914931662539,0.05618638218760848,0.9744680917009394,0.02690553213959144
flow_npe,1000,1000,N=n,xi,101,0.6912871281441191,0.41644846829448334,0.8381188132495868,0.34401951410057013,0.9905940595239696,0.047176727540549794
flow_npe,1000,6907,N=n log(n),xi,101,0.9946534657242274,0.03895033572453768,0.9948514853373612,0.050746700637126656,1.0,0.0
flow_npe,1000,31622,N=n^(3/2),xi,100,0.8995000031590462,0.15876019147965356,0.9672000041604042,0.08060478562111408,0.9908000022172928,0.03552435516387689
flow_npe,1000,1000000,N=n^2,xi,63,0.84349206184584,0.10528239928408059,0.9336507973216829,0.0666067375063553,0.9733333379503281,0.04008056522215232
flow_npe,5000,5000,N=n,xi,101,0.9791089107494543,0.14021482824438136,0.9943564357143817,0.05474332660221213,0.9999009901934331,0.0009950362412685769
flow_npe,5000,42585,N=n log(n),xi,98,0.9060204097316885,0.21380567387039595,0.9740816341066847,0.10745257185772444,0.9928571435869956,0.05167304034408693
flow_npe,5000,353553,N=n^(3/2),xi,84,0.8950000046974137,0.16431310194998688,0.9653571460928235,0.08639286037688294,0.9882142856007531,0.04483331502988679
flow_npe,5000,2500000,other,xi,26,0.8180769257820569,0.18778751991364573,0.9111538483546331,0.12235446893304143,0.9542307761999277,0.080308060651186
flow_npe,5000,25000000,N=n^2,xi,3,0.9166666666666666,0.03214550587422905,0.9700000087420145,0.010000020265594028,0.9933333396911621,0.005773497185855025
gaussian_npe,100,100,N=n,xi,101,0.2233663366336634,0.4059834411099122,0.8032673267326732,0.3743637506781101,0.9886138613861386,0.10046919630384524
gaussian_npe,100,460,N=n log(n),xi,101,0.09306930693069307,0.2704209406619887,0.9433663366336634,0.2238896032768059,1.0,0.0
gaussian_npe,100,1000,N=n^(3/2),xi,101,0.1945544554455446,0.3598986656059598,0.9974257425742575,0.025870966945459706,1.0,0.0
gaussian_npe,100,10000,N=n^2,xi,101,0.9852475247524751,0.08229938103541166,0.9996039603960397,0.003137129923738553,0.9998019801980198,0.00199007438041998
gaussian_npe,500,500,N=n,xi,101,0.07495049504950495,0.2325580519456432,0.9298019801980197,0.2439261371727917,1.0,0.0
gaussian_npe,500,3107,N=n log(n),xi,101,0.16772277227722773,0.3429865338118067,1.0,0.0,1.0,0.0
gaussian_npe,500,11180,N=n^(3/2),xi,101,0.2968316831683168,0.43548118373373906,1.0,0.0,1.0,0.0
gaussian_npe,500,250000,N=n^2,xi,95,0.9116842105263157,0.12950521743846846,0.9594736842105265,0.08450567677082389,0.9828421052631577,0.04355635034177203
gaussian_npe,1000,1000,N=n,xi,101,0.18148514851485148,0.35740841103313126,0.9801980198019802,0.14001414355714067,1.0,0.0
gaussian_npe,1000,6907,N=n log(n),xi,101,0.08554455445544555,0.2621010310835299,1.0,0.0,1.0,0.0
gaussian_npe,1000,31622,N=n^(3/2),xi,100,0.4053999999999999,0.4699417973848388,1.0,0.0,1.0,0.0
gaussian_npe,1000,1000000,N=n^2,xi,70,0.9794285714285714,0.06837419875874685,0.9974285714285713,0.010992186195197769,0.9995714285714286,0.002657073843134118
gaussian_npe,5000,5000,N=n,xi,101,0.13287128712871285,0.302741925189305,1.0,0.0,1.0,0.0
gaussian_npe,5000,42585,N=n log(n),xi,99,0.24727272727272723,0.4093270190621709,1.0,0.0,1.0,0.0
gaussian_npe,5000,353553,N=n^(3/2),xi,85,0.9750588235294118,0.14832897422229258,0.9936470588235295,0.05857122361103715,0.9996470588235294,0.003253956867279846
