method,n,N,N_label,seed,param,source,sample_count,posterior_mean,bias
flow_npe,100,100,N=n,0,lambda,posterior_samples.pkl,10000,94.56611814270019,-5.433881857299809
flow_npe,100,100,N=n,0,sigma,posterior_samples.pkl,10000,3.37194650169611,1.3719465016961099
flow_npe,100,100,N=n,0,xi,posterior_samples.pkl,10000,-1.5498580720186232,-1.4498580720186232
flow_npe,100,100,N=n,1,lambda,posterior_samples.pkl,10000,100.93159229259491,0.9315922925949138
flow_npe,100,100,N=n,1,sigma,posterior_samples.pkl,10000,4.801838962226734,2.801838962226734
flow_npe,100,100,N=n,1,xi,posterior_samples.pkl,10000,-1.1086906888723373,-1.0086906888723373
flow_npe,100,100,N=n,2,lambda,posterior_samples.pkl,10000,103.2944607006073,3.294460700607303
flow_npe,100,100,N=n,2,sigma,posterior_samples.pkl,10000,3.3057171956467677,1.3057171956467677
flow_npe,100,100,N=n,2,xi,posterior_samples.pkl,10000,-1.7642945974111557,-1.6642945974111556
flow_npe,100,100,N=n,3,lambda,posterior_samples.pkl,10000,98.88551647758484,-1.1144835224151564
flow_npe,100,100,N=n,3,sigma,posterior_samples.pkl,10000,3.5735107800208032,1.5735107800208032
flow_npe,100,100,N=n,3,xi,posterior_samples.pkl,10000,-1.4990237204909325,-1.3990237204909324
flow_npe,100,100,N=n,4,lambda,posterior_samples.pkl,10000,97.85593297195435,-2.1440670280456544
flow_npe,100,100,N=n,4,sigma,posterior_samples.pkl,10000,2.643856079694815,0.6438560796948152
flow_npe,100,100,N=n,4,xi,posterior_samples.pkl,10000,-1.0657895456671715,-0.9657895456671716
flow_npe,100,100,N=n,5,lambda,posterior_samples.pkl,10000,99.0452277759552,-0.9547722240448024
flow_npe,100,100,N=n,5,sigma,posterior_samples.pkl,10000,4.022035722205718,2.022035722205718
flow_npe,100,100,N=n,5,xi,posterior_samples.pkl,10000,-1.3148428629159927,-1.2148428629159926
flow_npe,100,100,N=n,6,lambda,posterior_samples.pkl,10000,102.10506905231476,2.105069052314761
flow_npe,100,100,N=n,6,sigma,posterior_samples.pkl,10000,4.457080326487869,2.457080326487869
flow_npe,100,100,N=n,6,xi,posterior_samples.pkl,10000,-1.6567505704641343,-1.5567505704641342
flow_npe,100,100,N=n,7,lambda,posterior_samples.pkl,10000,98.9770522743225,-1.022947725677497
flow_npe,100,100,N=n,7,sigma,posterior_samples.pkl,10000,3.3055666316874324,1.3055666316874324
flow_npe,100,100,N=n,7,xi,posterior_samples.pkl,10000,-1.5541129094839097,-1.4541129094839096
flow_npe,100,100,N=n,8,lambda,posterior_samples.pkl,10000,101.77961358184814,1.779613581848139
flow_npe,100,100,N=n,8,sigma,posterior_samples.pkl,10000,3.7681304900500923,1.7681304900500923
flow_npe,100,100,N=n,8,xi,posterior_samples.pkl,10000,-1.4587246569275856,-1.3587246569275855
flow_npe,100,100,N=n,9,lambda,posterior_samples.pkl,10000,100.35102526435853,0.3510252643585261
flow_npe,100,100,N=n,9,sigma,posterior_samples.pkl,10000,3.837224136133306,1.837224136133306
flow_npe,100,100,N=n,9,xi,posterior_samples.pkl,10000,-1.4378276085019113,-1.3378276085019112
flow_npe,100,100,N=n,10,lambda,posterior_samples.pkl,10000,101.44379583015441,1.4437958301544143
flow_npe,100,100,N=n,10,sigma,posterior_samples.pkl,10000,3.7549257774535567,1.7549257774535567
flow_npe,100,100,N=n,10,xi,posterior_samples.pkl,10000,-1.6501576705098153,-1.5501576705098152
flow_npe,100,100,N=n,11,lambda,posterior_samples.pkl,10000,99.90357276477813,-0.09642723522186714
flow_npe,100,100,N=n,11,sigma,posterior_samples.pkl,10000,3.336581245950516,1.3365812459505162
flow_npe,100,100,N=n,11,xi,posterior_samples.pkl,10000,-1.2417730272173881,-1.141773027217388
flow_npe,100,100,N=n,12,lambda,posterior_samples.pkl,10000,96.56752984867096,-3.432470151329042
flow_npe,100,100,N=n,12,sigma,posterior_samples.pkl,10000,3.4653646171966566,1.4653646171966566
flow_npe,100,100,N=n,12,xi,posterior_samples.pkl,10000,-1.0306673357367515,-0.9306673357367515
flow_npe,100,100,N=n,13,lambda,posterior_samples.pkl,10000,98.4700686126709,-1.5299313873290998
flow_npe,100,100,N=n,13,sigma,posterior_samples.pkl,10000,3.859555217475444,1.8595552174754442
flow_npe,100,100,N=n,13,xi,posterior_samples.pkl,10000,-1.4195907004117965,-1.3195907004117964
flow_npe,100,100,N=n,14,lambda,posterior_samples.pkl,10000,94.87834217853546,-5.121657821464538
flow_npe,100,100,N=n,14,sigma,posterior_samples.pkl,10000,3.839989771150984,1.839989771150984
flow_npe,100,100,N=n,14,xi,posterior_samples.pkl,10000,-1.0673782739043236,-0.9673782739043236
flow_npe,100,100,N=n,15,lambda,posterior_samples.pkl,10000,113.28092946605682,13.280929466056818
flow_npe,100,100,N=n,15,sigma,posterior_samples.pkl,10000,5.21763584346287,3.21763584346287
flow_npe,100,100,N=n,15,xi,posterior_samples.pkl,10000,-1.1521775955200195,-1.0521775955200194
flow_npe,100,100,N=n,16,lambda,posterior_samples.pkl,10000,94.52088376560211,-5.4791162343978925
flow_npe,100,100,N=n,16,sigma,posterior_samples.pkl,10000,3.5532483536918646,1.5532483536918646
flow_npe,100,100,N=n,16,xi,posterior_samples.pkl,10000,-0.9111949294686318,-0.8111949294686318
flow_npe,100,100,N=n,17,lambda,posterior_samples.pkl,10000,98.17737196521759,-1.8226280347824115
flow_npe,100,100,N=n,17,sigma,posterior_samples.pkl,10000,3.970316022698581,1.9703160226985812
flow_npe,100,100,N=n,17,xi,posterior_samples.pkl,10000,-1.4916499266862868,-1.3916499266862867
flow_npe,100,100,N=n,18,lambda,posterior_samples.pkl,10000,103.80848072452545,3.8084807245254524
flow_npe,100,100,N=n,18,sigma,posterior_samples.pkl,10000,4.494120831784559,2.494120831784559
flow_npe,100,100,N=n,18,xi,posterior_samples.pkl,10000,-1.2165391793131828,-1.1165391793131827
flow_npe,100,100,N=n,19,lambda,posterior_samples.pkl,10000,96.54409267311097,-3.455907326889033
flow_npe,100,100,N=n,19,sigma,posterior_samples.pkl,10000,4.194667713164538,2.194667713164538
flow_npe,100,100,N=n,19,xi,posterior_samples.pkl,10000,-1.830391423368454,-1.7303914233684539
flow_npe,100,100,N=n,20,lambda,posterior_samples.pkl,10000,99.29424096488953,-0.705759035110475
flow_npe,100,100,N=n,20,sigma,posterior_samples.pkl,10000,4.289342799170315,2.2893427991703152
flow_npe,100,100,N=n,20,xi,posterior_samples.pkl,10000,-1.577092724430561,-1.477092724430561
flow_npe,100,100,N=n,21,lambda,posterior_samples.pkl,10000,100.94814975147247,0.9481497514724708
flow_npe,100,100,N=n,21,sigma,posterior_samples.pkl,10000,4.607164218570292,2.6071642185702917
flow_npe,100,100,N=n,21,xi,posterior_samples.pkl,10000,-1.760423117017746,-1.660423117017746
flow_npe,100,100,N=n,22,lambda,posterior_samples.pkl,10000,101.64863415946961,1.6486341594696086
flow_npe,100,100,N=n,22,sigma,posterior_samples.pkl,10000,3.075851778236171,1.0758517782361712
flow_npe,100,100,N=n,22,xi,posterior_samples.pkl,10000,-1.1107367140054702,-1.0107367140054702
flow_npe,100,100,N=n,23,lambda,posterior_samples.pkl,10000,99.92101200065613,-0.07898799934386602
flow_npe,100,100,N=n,23,sigma,posterior_samples.pkl,10000,2.929278281244915,0.929278281244915
flow_npe,100,100,N=n,23,xi,posterior_samples.pkl,10000,-1.1378897372245789,-1.0378897372245788
flow_npe,100,100,N=n,24,lambda,posterior_samples.pkl,10000,99.6746248922348,-0.32537510776519696
flow_npe,100,100,N=n,24,sigma,posterior_samples.pkl,10000,4.647274732851796,2.6472747328517956
flow_npe,100,100,N=n,24,xi,posterior_samples.pkl,10000,-1.3746250747323037,-1.2746250747323036
flow_npe,100,100,N=n,25,lambda,posterior_samples.pkl,10000,101.14180566215515,1.14180566215515
flow_npe,100,100,N=n,25,sigma,posterior_samples.pkl,10000,3.951717165110726,1.951717165110726
flow_npe,100,100,N=n,25,xi,posterior_samples.pkl,10000,-1.5820411556363105,-1.4820411556363104
flow_npe,100,100,N=n,26,lambda,posterior_samples.pkl,10000,100.24786725025177,0.24786725025177248
flow_npe,100,100,N=n,26,sigma,posterior_samples.pkl,10000,3.4804898491563274,1.4804898491563274
flow_npe,100,100,N=n,26,xi,posterior_samples.pkl,10000,-1.4447265840888024,-1.3447265840888023
flow_npe,100,100,N=n,27,lambda,posterior_samples.pkl,10000,96.84981816139221,-3.150181838607793
flow_npe,100,100,N=n,27,sigma,posterior_samples.pkl,10000,3.7647728111321106,1.7647728111321106
flow_npe,100,100,N=n,27,xi,posterior_samples.pkl,10000,-1.701960427570343,-1.601960427570343
flow_npe,100,100,N=n,28,lambda,posterior_samples.pkl,10000,102.71208094596862,2.712080945968623
flow_npe,100,100,N=n,28,sigma,posterior_samples.pkl,10000,2.44950449911356,0.44950449911355994
flow_npe,100,100,N=n,28,xi,posterior_samples.pkl,10000,-0.7578068547606468,-0.6578068547606468
flow_npe,100,100,N=n,29,lambda,posterior_samples.pkl,10000,95.19107481498719,-4.808925185012811
flow_npe,100,100,N=n,29,sigma,posterior_samples.pkl,10000,3.788320605876483,1.788320605876483
flow_npe,100,100,N=n,29,xi,posterior_samples.pkl,10000,-1.6851940395474434,-1.5851940395474433
