manifest_index,pbs_array_index,action,n,d,x,N,seed,method,simulator,run_id,config_path,output_dir,validation_curve,validation_curve_plot,predicted_u_mean_cov,samples_10k,posterior_samples_pkl,metrics,timing_metadata,stdout_log,stderr_log,reuse_source_output_dir,reuse_marker_path,reuse_compatible,collision_status,notes
0,0,run,500,11,25,1512500,0,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed0_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
1,1,run,500,11,25,1512500,1,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed1_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
2,2,run,500,11,25,1512500,2,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed2_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
3,3,run,500,11,25,1512500,3,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed3_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
4,4,run,500,11,25,1512500,4,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed4_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
5,5,run,500,11,25,1512500,5,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed5_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
6,6,run,500,11,25,1512500,6,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed6_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
7,7,run,500,11,25,1512500,7,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed7_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
8,8,run,500,11,25,1512500,8,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed8_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
9,9,run,500,11,25,1512500,9,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed9_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
10,10,run,500,11,25,1512500,10,Gaussian-NPE,empirical_gnk_prior_predictive_octile_summaries,gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z,res/gnk_high_budget/configs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z.yaml,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z/validation_curve.csv,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z/validation_curve.pdf,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z/gaussian_npe_u_posterior.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z/posterior_samples_10k.npz,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z/posterior_samples.pkl,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z/metrics.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z/timing_metadata.json,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z/logs/stdout.log,res/gnk_high_budget/runs/gnk_gaussian_npe_n500_x25_seed10_20260426T010115Z/logs/stderr.log,,,,checked-no-collisions,Prepared dry-run row; not submitted.
